PCR	O	0,3
products	O	4,12
were	O	13,17
analyzed	O	18,26
by	O	27,29
ethidium	B-KP	30,38
bromide	I-KP	39,46
staining	I-KP	47,55
of	O	56,58
agarose	O	59,66
gels	O	67,71
and	O	72,75
confirmed	O	76,85
by	O	86,88
Southern	B-KP	89,97
blot	I-KP	98,102
hybridization	I-KP	103,116
,	O	116,117
performed	O	118,127
as	O	128,130
described	O	131,140
previously	O	141,151
with	O	152,156
nested	O	157,163
probes	O	164,170
.	O	170,171
[	O	172,173
11	O	173,175
]	O	175,176
Briefly	O	177,184
,	O	184,185
30	O	186,188
to	O	189,191
50	O	192,194
pl	O	195,197
from	O	198,202
each	O	203,207
PCR-amplified	B-KP	208,221
fraction	I-KP	222,230
was	O	231,234
applied	O	235,242
to	O	243,245
1.5%	O	246,250
agarose	O	251,258
gel	O	259,262
and	O	263,266
electrophoresis	B-KP	267,282
performed	O	283,292
at	O	293,295
100	O	296,299
V	O	300,301
for	O	302,305
3	O	306,307
to	O	308,310
4	O	311,312
hours	O	313,318
.	O	318,319

Gels	O	320,324
were	O	325,329
then	O	330,334
rinsed	O	335,341
in	O	342,344
deionized	O	345,354
water	O	355,360
,	O	360,361
denatured	O	362,371
in	O	372,374
1.0	O	375,378
mmol	O	379,383
/	O	383,384
L	O	384,385
NaCl	O	386,390
,	O	390,391
0.5	O	392,395
mol	O	396,399
/	O	399,400
L	O	400,401
NaOH	O	402,406
twice	O	407,412
for	O	413,416
15	O	417,419
minutes	O	420,427
,	O	427,428
and	O	429,432
then	O	433,437
neutralized	O	438,449
by	O	450,452
soaking	O	453,460
in	O	461,463
0.5	O	464,467
mol	O	468,471
/	O	471,472
L	O	472,473
TRIS	O	474,478
(	O	479,480
pH	O	480,482
7.4)	O	483,487
/	O	487,488
1.5	O	488,491
mol	O	492,495
/	O	495,496
L	O	496,497
NaCl	O	498,502
twice	O	503,508
for	O	509,512
15	O	513,515
minutes	O	516,523
.	O	523,524

Gels	O	525,529
were	O	530,534
then	O	535,539
transferred	O	540,551
into	O	552,556
a	O	557,558
nylon	B-KP	559,564
membrane	I-KP	565,573
by	I-KP	574,576
capillary	I-KP	577,586
blotting	I-KP	587,595
and	O	596,599
baked	O	600,605
for	O	606,609
2	O	610,611
hours	O	612,617
at	O	618,620
80	O	621,623
”	O	623,624
C	O	625,626
in	O	627,629
a	O	630,631
vacuum	O	632,638
oven	O	639,643
.	O	643,644

Filters	O	645,652
were	O	653,657
then	O	658,662
prehybridized	O	663,676
at	O	677,679
42	O	680,682
”	O	682,683
C	O	684,685
for	O	686,689
3	O	690,691
to	O	692,694
6	O	695,696
hours	O	697,702
in	O	703,705
a	O	706,707
solution	O	708,716
of	O	717,719
5x	B-KP	720,722
saline-sodium	I-KP	723,736
citrate	I-KP	737,744
(	O	745,746
SSC	B-KP	746,749
)	O	749,750
(	O	751,752
1	O	752,753
x	O	754,755
SSC	O	756,759
=	O	760,761
0.15	O	762,766
mol	O	767,770
/	O	770,771
L	O	771,772
NaCl	O	773,777
and	O	778,781
0.015	O	782,787
mol	O	788,791
/	O	791,792
L	O	792,793
sodium	O	794,800
citrate	O	801,808
pH	O	809,811
7.4),	O	812,817
50	O	818,820
mmolIL	O	821,827
sodium	O	828,834
phosphate	O	835,844
pH	O	845,847
7.0,	O	848,852
0.1%	O	853,857
sodium	O	858,864
pyrophosphate	O	865,878
,	O	878,879
10X	O	880,883
Denhardt’s	O	884,894
solution	O	895,903
(0.2%	O	904,909
bovine	O	910,916
serum	O	917,922
albumin	O	923,930
,	O	930,931
Ficoll	O	932,938
,	O	938,939
and	O	940,943
polyvinyl	O	944,953
pyrrolidone	O	954,965
)	O	965,966
,	O	966,967
and	O	968,971
100	O	972,975
ug	O	976,978
/	O	978,979
rnl	O	979,982
denatured	O	983,992
herring	O	993,1000
sperm	O	1001,1006
DNA	O	1007,1010
,	O	1010,1011
and	O	1012,1015
then	O	1016,1020
hybridized	O	1021,1031
at	O	1032,1034
37	O	1035,1037
”	O	1037,1038
C	O	1039,1040
in	O	1041,1043
a	O	1044,1045
fresh	O	1046,1051
solution	O	1052,1060
containing	O	1061,1071
a	O	1072,1073
phosphorus	O	1074,1084
32	O	1085,1087
end-labeled	O	1088,1099
oligonucleotide	O	1100,1115
