Two	O	0,3
RCTs	B-KP	4,8
[	O	9,10
Wressnigg	O	10,19
et	O	20,22
al	O	23,25
.	O	25,26
,	O	26,27
2014	O	28,32
;	O	32,33
Wressnigg	O	34,43
et	O	44,46
al	O	47,49
.	O	49,50
,	O	50,51
2013	O	52,56
]	O	56,57
assessed	O	58,66
the	O	67,70
immunogenicity	O	71,85
of	O	86,88
a	O	89,90
new	O	91,94
multivalent	B-KP	95,106
vaccine	I-KP	107,114
for	O	115,118
preventing	O	119,129
LD	B-KP	130,132
.	O	132,133
[	O	134,135
Wressnigg	O	135,144
et	O	145,147
al	O	148,150
.	O	150,151
(	O	152,153
2013	O	153,157
)	O	157,158
]	O	158,159
found	O	160,165
that	O	166,170
whilst	O	171,177
all	O	178,181
doses	O	182,187
(	O	188,189
30	O	189,191
,	O	191,192
60	O	193,195
or	O	196,198
90	O	199,201
μg	O	202,204
)	O	204,205
,	O	205,206
given	O	207,212
on	O	213,215
three	O	216,221
occasions	O	222,231
28	O	232,234
days	O	235,239
apart	O	240,245
,	O	245,246
and	O	247,250
formulations	O	251,263
(	O	264,265
with	O	265,269
or	O	270,272
without	O	273,280
an	O	281,283
adjuvant	O	284,292
to	O	293,295
enhance	O	296,303
the	O	304,307
effect13	O	308,316
)	O	316,317
produced	O	318,326
a	O	327,328
positive	O	329,337
response	O	338,346
,	O	346,347
the	O	348,351
90	O	352,354
μg	O	355,357
non-adjuvanted	O	358,372
formulation	O	373,384
produced	O	385,393
the	O	394,397
highest	O	398,405
response	O	406,414
after	O	415,420
the	O	421,424
first	O	425,430
three	O	431,436
vaccinations	O	437,449
.	O	449,450

However	O	451,458
,	O	458,459
after	O	460,465
a	O	466,467
booster	O	468,475
(	O	476,477
9	O	477,478
to	O	479,481
12	O	482,484
months	O	485,491
later	O	492,497
)	O	497,498
,	O	498,499
the	O	500,503
30	O	504,506
μg	O	507,509
adjuvanted	B-KP	510,520
dose	I-KP	521,525
was	O	526,529
most	O	530,534
effective	O	535,544
.	O	544,545
[	O	546,547
Wressnigg	O	547,556
et	O	557,559
al	O	560,562
.	O	562,563
(	O	564,565
2014	O	565,569
)	O	569,570
]	O	570,571
compared	O	572,580
healthy	O	581,588
people	O	589,595
who	O	596,599
were	O	600,604
either	O	605,611
seropositive	O	612,624
[	O	625,626
14	O	626,628
]	O	628,629
or	O	630,632
seronegative	O	633,645
[	O	646,647
15	O	647,649
]	O	649,650
for	O	651,654
LD	O	655,657
.	O	657,658
Participants	O	659,671
received	O	672,680
three	O	681,686
doses	O	687,692
(	O	693,694
30	O	694,696
or	O	697,699
60	O	700,702
μg	O	703,705
of	O	706,708
