Microbial	B-KP 0 9
diagnosis	I-KP 10 19
was	O 20 23
based	O 24 29
on	O 30 32
a	O 33 34
detection	O 35 44
of	O 45 47
[	 O 48 49
1	O 49 50
]	 O 50 51
specific	O 52 60
DNA	B-KP 61 64
;	 O 64 65
or	O 66 68
[	 O 69 70
2	O 70 71
]	 O 71 72
specific	O 73 81
antibodies	B-KP 82 92
in	O 93 95
the	O 96 99
CSF	B-KP 100 103
,	 O 103 104
while	O 105 110
all	O 111 114
other	O 115 120
microbes	B-KP 121 129
gave	O 130 134
negative	O 135 143
results	O 144 151
and	O 152 155
the	O 156 159
damage	O 160 166
of	O 167 169
blood#	O 170 176
/	O 176 177
brain-barrier	O 177 190
was	O 191 194
excluded	O 195 203
;	 O 203 204
[	 O 205 206
3	O 206 207
]	 O 207 208
diagnostic	O 209 219
rise	O 220 224
in	O 225 227
IgG	B-KP 228 231
antibodies	I-KP 232 242
;	 O 242 243
[	 O 244 245
4	O 245 246
]	 O 246 247
presence	O 248 256
of	O 257 259
specific	O 260 268
IgM	B-KP 269 272
;	 O 272 273
[	 O 274 275
5	O 275 276
]	 O 276 277
low	O 278 281
avidity	B-KP 282 289
of	O 290 292
IgG	B-KP 293 296
antibodies	I-KP 297 307
(	 O 308 309
HHV-6	B-KP 309 314
)	 O 314 315
;	 O 315 316
[	 O 317 318
6	O 318 319
]	 O 319 320
specific	O 321 329
immunoblotting	B-KP 330 344
of	O 345 347
antibodies	B-KP 348 358
(	 O 359 360
B	B-KP 360 361
.	 I-KP 361 362
burgdorferi	I-KP 363 374
)	 O 374 375
in	O 376 378
serum	B-KP 379 384
;	 O 384 385
or	O 386 388
[	 O 389 390
7	O 390 391
]	 O 391 392
characteristic	O 393 407
skin	O 408 412
manifestations	O 413 427
(	 O 428 429
varicella	B-KP 429 438
zoster	I-KP 439 445
)	 O 445 446
.	 O 446 447

