Physical	O 0 8
exam	O 9 13
revealed	O 14 22
facial	B-KP 23 29
symmetry	I-KP 30 38
,	 O 38 39
and	O 40 43
numbness	O 44 52
in	O 53 55
right	O 56 61
chin	O 62 66
in	O 67 69
nerve	O 70 75
distribution	O 76 88
.	 O 88 89

She	O 90 93
was	O 94 97
diagnosed	O 98 107
with	O 108 112
possible	O 113 121
Lyme	B-KP 122 126
cranial	I-KP 127 134
neuritis	I-KP 135 143
.	 O 143 144

Doxycycline	B-KP 145 156
was	O 157 160
continued	O 161 170
and	O 171 174
pregabalin	B-KP 175 185
was	O 186 189
started	O 190 197
.	 O 197 198

On	O 199 201
day	O 202 205
#	 O 206 207
10	O 207 209
of	O 210 212
doxycycline	B-KP 213 224
,	 O 224 225
she	O 226 229
woke	O 230 234
up	O 235 237
and	O 238 241
noticed	O 242 249
that	O 250 254
her	O 255 258
right	O 259 264
face	O 265 269
was	O 270 273
paralyzed	O 274 283
and	O 284 287
was	O 288 291
unable	O 292 298
to	O 299 301
close	O 302 307
the	O 308 311
right	O 312 317
eye	O 318 321
,	 O 321 322
so	O 323 325
she	O 326 329
went	O 330 334
to	O 335 337
the	O 338 341
local	O 342 347
emergency	O 348 357
department	O 358 368
.	 O 368 369

The	O 370 373
EM	B-KP 374 376
was	O 377 380
improved	O 381 389
from	O 390 394
4	O 395 396
to	O 397 399
2	O 400 401
cm	O 402 404
residual	O 405 413
rash	B-KP 414 418
.	 O 418 419

Because	O 420 427
of	O 428 430
her	O 431 434
headaches	O 435 444
,	 O 444 445
a	O 446 447
lumbar	B-KP 448 454
puncture	I-KP 455 463
and	O 464 467
brain	O 468 473
MRI	B-KP 474 477
were	O 478 482
recommended	O 483 494
.	 O 494 495

Cerebrospinal	B-KP 496 509
spinal	B-KP 510 516
fluid	I-KP 517 522
analysis	O 523 531
revealed	O 532 540
only	O 541 545
3	O 546 547
WBCs	B-KP 548 552
,	 O 552 553
protein	O 554 561
30.2	O 562 566
g	O 567 568
/	O 568 569
dL,	O 569 572
glucose	O 573 580
62	O 581 583
mg	O 584 586
/	O 586 587
L,	O 587 589
Lyme	B-KP 590 594
serology	I-KP 595 603
pair	O 604 608
CSF	B-KP 609 612
fluid	O 613 618
O.D.	O 619 623
=	O 624 625
0.114	O 626 631
(	 O 632 633
borderline	O 633 643
)	 O 643 644
,	 O 644 645
serum	B-KP 646 651
Lyme	B-KP 652 656
serology	I-KP 657 665
pair	O 666 670
O.D.	O 671 675
=	O 676 677
0.409	O 678 683
(	 O 684 685
reactive	O 685 693
)	 O 693 694
,	 O 694 695
serum	B-KP 696 701
IgM	I-KP 702 705
Western	B-KP 706 713
blot	I-KP 714 718
positive	O 719 727
(	 O 728 729
bands	O 729 734
present	O 735 742
:	 O 742 743
23	O 744 746
and	O 747 750
41	O 751 753
kDa	O 754 757
)	 O 757 758
,	 O 758 759
serum	B-KP 760 765
IgG	I-KP 766 769
Western	B-KP 770 777
blot	I-KP 778 782
indeterminate	O 783 796
(	 O 797 798
bands	O 798 803
:	 O 803 804
41,58	O 805 810
and	O 811 814
93	O 815 817
kDa	O 818 821
)	 O 821 822
,	 O 822 823
CRP	B-KP 824 827
remained	O 828 836
less	O 837 841
than	O 842 846
0.1	O 847 850
mg	O 851 853
/	O 853 854
dL.	O 854 857
MRI	B-KP 858 861
of	O 862 864
the	O 865 868
brain	O 869 874
showed	O 875 881
new	O 882 885
increased	O 886 895
enhancement	O 896 907
involving	O 908 917
the	O 918 921
right	O 922 927
facial	B-KP 928 934
nerve	I-KP 935 940
(	 O 941 942
Figure	O 942 948
1	O 949 950
)	 O 950 951
.	 O 951 952

She	O 953 956
was	O 957 960
discharged	O 961 971
on	O 972 974
minocycline	B-KP 975 986
100	O 987 990
mg	O 991 993
orally	O 994 1000
twice	O 1001 1006
a	O 1007 1008
day	O 1009 1012
for	O 1013 1016
21	O 1017 1019
days	O 1020 1024
.	 O 1024 1025

Two	O 1026 1029
days	O 1030 1034
later	O 1035 1040
,	 O 1040 1041
her	O 1042 1045
right	O 1046 1051
side	O 1052 1056
headaches	O 1057 1066
improved	O 1067 1075
significantly	O 1076 1089
.	 O 1089 1090

The	O 1091 1094
facial	B-KP 1095 1101
paralysis	I-KP 1102 1111
completely	O 1112 1122
resolved	O 1123 1131
after	O 1132 1137
1	O 1138 1139
week	O 1140 1144
.	 O 1144 1145

At	O 1146 1148
3	O 1149 1150
months	O 1151 1157
follow-up	O 1158 1167
,	 O 1167 1168
she	O 1169 1172
recovered	O 1173 1182
completely	O 1183 1193
without	O 1194 1201
any	O 1202 1205
complications	O 1206 1219
.	 O 1219 1220

