Signs	O 0 5
and	O 6 9
symptoms	O 10 18
attributable	O 19 31
to	O 32 34
the	O 35 38
nervous	O 39 46
or	O 47 49
musculoskeletal	B-KP 50 65
system	I-KP 66 72
have	O 73 77
been	O 78 82
noted	O 83 88
by	O 89 91
other	O 92 97
investigators	O 98 111
.	 O 111 112

Two	O 113 116
separate	O 117 125
,	 O 125 126
large	O 127 132
,	 O 132 133
retrospective	O 134 147
studies	O 148 155
of	O 156 158
patients	O 159 167
treated	O 168 175
for	O 176 179
early	B-KP 180 185
Lyme	I-KP 186 190
disease	I-KP 191 198
found	O 199 204
a	O 205 206
surprisingly	O 207 219
high	O 220 224
incidence	O 225 234
of	O 235 237
continued	O 238 247
signs	O 248 253
and	O 254 257
symptoms	O 258 266
,	 O 266 267
especially	O 268 278
if	O 279 281
treatment	O 282 291
was	O 292 295
delayed	O 296 303
.	 O 303 304
[8,9]	O 305 310
Shadick	O 311 318
et	O 319 321
al	O 322 324
.	 O 324 325
[	 O 326 327
8	O 327 328
]	 O 328 329
found	O 330 335
that	O 336 340
34	O 341 343
percent	O 344 351
of	O 352 354
patients	O 355 363
in	O 364 366
a	O 367 368
suburban	O 369 377
area	O 378 382
of	O 383 385
highly	B-KP 386 392
endemic	I-KP 393 400
disease	I-KP 401 408
just	O 409 413
north	O 414 419
of	O 420 422
Boston	O 423 429
who	O 430 433
had	O 434 437
been	O 438 442
treated	O 443 450
for	O 451 454
early	B-KP 455 460
Lyme	I-KP 461 465
disease	I-KP 466 473
had	O 474 477
long-term	O 478 487
sequelae	O 488 496
,	 O 496 497
including	O 498 507
arthritis	B-KP 508 517
,	 O 517 518
arthralgia	B-KP 519 529
,	 O 529 530
cognitive	B-KP 531 540
impairment	I-KP 541 551
,	 O 551 552
and	O 553 556
neuropathy	B-KP 557 567
.	 O 567 568

A	O 569 570
similar	O 571 578
investigation	O 579 592
carried	O 593 600
out	O 601 604
in	O 605 607
Westchester	O 608 619
County	O 620 626
,	 O 626 627
New	O 628 631
York	O 632 636
,	 O 636 637
[	 O 638 639
9	O 639 640
]	 O 640 641
found	O 642 647
that	O 648 652
114	O 653 656
of	O 657 659
the	O 660 663
215	O 664 667
patients	O 668 676
studied	O 677 684
(	 O 685 686
53	O 686 688
percent	O 689 696
)	 O 696 697
had	O 698 701
persistent	O 702 712
signs	O 713 718
and	O 719 722
symptoms	O 723 731
,	 O 731 732
including	O 733 742
neurologic	B-KP 743 753
,	 O 753 754
cardiac	B-KP 755 762
,	 O 762 763
and	O 764 767
musculoskeletal	B-KP 768 783
disorders	I-KP 784 793
.	 O 793 794

Of	O 795 797
the	O 798 801
114	O 802 805
patients	O 806 814
with	O 815 819
ongoing	O 820 827
problems	O 828 836
,	 O 836 837
35	O 838 840
(	 O 841 842
31	O 842 844
percent	O 845 852
)	 O 852 853
had	O 854 857
clinically	O 858 868
important	O 869 878
fatigue	B-KP 879 886
and	O 887 890
arthralgia	B-KP 891 901
as	O 902 904
their	O 905 910
chief	O 911 916
symptoms	O 917 925
.	 O 925 926

These	O 927 932
retrospective	O 933 946
studies	O 947 954
suggest	O 955 962
that	O 963 967
perhaps	O 968 975
more	O 976 980
attention	O 981 990
should	O 991 997
be	O 998 1000
paid	O 1001 1005
to	O 1006 1008
minor	O 1009 1014
post-treatment	O 1015 1029
symptoms	O 1030 1038
.	 O 1038 1039

Although	O 1040 1048
arthralgia	O 1049 1059
and	O 1060 1063
fatigue	B-KP 1064 1071
have	O 1072 1076
been	O 1077 1081
reported	O 1082 1090
after	O 1091 1096
the	O 1097 1100
administration	O 1101 1115
of	O 1116 1118
both	O 1119 1123
oral	O 1124 1128
and	O 1129 1132
parenteral	O 1133 1143
antibiotics	B-KP 1144 1155
for	O 1156 1159
early	O 1160 1165
Lyme	B-KP 1166 1170
disease	I-KP 1171 1178
,	 O 1178 1179
[6,16-18]	O 1180 1189
the	O 1190 1193
incidence	O 1194 1203
is	O 1204 1206
generally	O 1207 1216
low	O 1217 1220
.	 O 1220 1221

Mild	B-KP 1222 1226
arthralgia	I-KP 1227 1237
,	 O 1237 1238
fatigue	B-KP 1239 1246
,	 O 1246 1247
and	O 1248 1251
headache	B-KP 1252 1260
were	O 1261 1265
noted	O 1266 1271
after	O 1272 1277
therapy	O 1278 1285
with	O 1286 1290
intravenous	B-KP 1291 1302
ceftriaxone	I-KP 1303 1314
and	O 1315 1318
oral	O 1319 1323
penicillin	B-KP 1324 1334
,	 O 1334 1335
[	 O 1336 1337
17	O 1337 1339
]	 O 1339 1340
and	O 1341 1344
arthralgia	B-KP 1345 1355
was	O 1356 1359
noted	O 1360 1365
after	O 1366 1371
oral	O 1372 1376
treatment	O 1377 1386
with	O 1387 1391
amoxicillin	B-KP 1392 1403
plus	O 1404 1408
probenecid	B-KP 1409 1419
or	O 1420 1422
with	O 1423 1427
doxycycline	B-KP 1428 1439
.	 O 1439 1440
[	 O 1441 1442
6	O 1442 1443
]	 O 1443 1444
One	O 1445 1448
year	O 1449 1453
after	O 1454 1459
treatment	O 1460 1469
with	O 1470 1474
cefuroxime	B-KP 1475 1485
axetil	I-KP 1486 1492
or	O 1493 1495
doxycycline	B-KP 1496 1507
,	 O 1507 1508
approximately	O 1509 1522
10	O 1523 1525
percent	O 1526 1533
of	O 1534 1536
patients	O 1537 1545
reported	O 1546 1554
the	O 1555 1558
persistence	O 1559 1570
of	O 1571 1573
mild-to-severe	O 1574 1588
fatigue	B-KP 1589 1596
,	 O 1596 1597
arthralgia	B-KP 1598 1608
,	 O 1608 1609
and	O 1610 1613
myalgia	B-KP 1614 1621
.	 O 1621 1622
[	 O 1623 1624
16	O 1624 1626
]	 O 1626 1627
