Lyme	B-KP 0 4
disease	I-KP 5 12
has	O 13 16
spread	O 17 23
across	O 24 30
the	O 31 34
US	O 35 37
Pacific	O 38 45
coast	O 46 51
via	O 52 55
the	O 56 59
western	O 60 67
black-legged	B-KP 68 80
tick	I-KP 81 85
.	 O 85 86
[	 O 87 88
5	O 88 89
]	 O 89 90
Other	O 91 96
species	O 97 104
of	O 105 107
ticks	O 108 113
found	O 114 119
in	O 120 122
the	O 123 126
United	O 127 133
States	O 134 140
have	O 141 145
not	O 146 149
been	O 150 154
shown	O 155 160
to	O 161 163
transmit	O 164 172
B	B-KP 173 174
burgdorferi	I-KP 175 186
.	 O 186 187
[	 O 188 189
5	O 189 190
,	 O 190 191
8	O 192 193
]	 O 193 194
Black-legged	B-KP 195 207
ticks	I-KP 208 213
live	O 214 218
for	O 219 222
2	O 223 224
years	O 225 230
and	O 231 234
have	O 235 239
3	O 240 241
feeding	O 242 249
stages	O 250 256
:	 O 256 257
larvae	B-KP 258 264
,	 O 264 265
nymph	B-KP 266 271
,	 O 271 272
and	O 273 276
adult	B-KP 277 282
.	 O 282 283
[	 O 284 285
8	O 285 286
]	 O 286 287
