Cranial	B-KP 0 7
neuropathies	I-KP 8 20
appear	O 21 27
in	O 28 30
early	O 31 36
neuroborreliosis	B-KP 37 53
in	O 54 56
about	O 57 62
60	O 63 65
%	 O 65 66
of	O 67 69
patients	O 70 78
and	O 79 82
develop	O 83 90
in	O 91 93
45	O 94 96
%	 O 96 97
of	O 98 100
patients	O 101 109
in	O 110 112
late	O 113 117
neuroborreliosis	B-KP 118 134
.	 O 134 135
[	 O 136 137
6	O 137 138
]	 O 138 139
In	O 140 142
addition	O 143 151
,	 O 151 152
up	O 153 155
to	O 156 158
55	O 159 161
%	 O 161 162
of	O 163 165
pediatric	O 166 175
patients	O 176 184
with	O 185 189
neuroborreliosis	B-KP 190 206
can	O 207 210
have	O 211 215
FP	B-KP 216 218
.	 O 218 219
[	 O 220 221
7	O 221 222
]	 O 222 223
FP	B-KP 224 226
accounts	O 227 235
for	O 236 239
70	O 240 242
%	 O 242 243
to	O 244 246
80	O 247 249
%	 O 249 250
of	O 251 253
all	O 254 257
cranial	B-KP 258 265
nerve	I-KP 266 271
neuropathies	I-KP 272 284
in	O 285 287
early	O 288 293
LB	B-KP 294 296
[	 O 297 298
6	O 298 299
]	 O 299 300
and	O 301 304
for	O 305 308
about	O 309 314
one	O 315 318
third	O 319 324
of	O 325 327
the	O 328 331
cases	O 332 337
in	O 338 340
late	O 341 345
LB	B-KP 346 348
.	 O 348 349
[	 O 350 351
8	O 351 352
]	 O 352 353
