An	O 0 2
enzyme-linked	B-KP 3 16
immunosorbent	I-KP 17 30
assay	I-KP 31 36
(	 O 37 38
ELISA	B-KP 38 43
)	 O 43 44
kit	O 45 48
(	 O 49 50
Dako	O 50 54
,	 O 54 55
Glostrup	O 56 64
,	 O 64 65
Denmark	O 66 73
)	 O 73 74
that	O 75 79
uses	O 80 84
B	B-KP 85 86
.	 I-KP 86 87
burgdorferi	I-KP 88 99
flagellin	B-KP 100 109
as	O 110 112
the	O 113 116
antigen	B-KP 117 124
was	O 125 128
used	O 129 133
for	O 134 137
the	O 138 141
titration	O 142 151
of	O 152 154
antibodies	B-KP 155 165
in	O 166 168
serum	B-KP 169 174
,	 O 174 175
as	O 176 178
has	O 179 182
been	O 183 187
described	O 188 197
previously	O 198 208
.	 O 208 209
[	 O 210 211
14	O 211 213
]	 O 213 214
The	O 215 218
cutoff	B-KP 219 225
titers	I-KP 226 232
for	O 233 236
serum	B-KP 237 242
immunoglobulin	B-KP 243 257
IgG	B-KP 258 261
and	O 262 265
IgM	B-KP 266 269
antibodies	B-KP 270 280
were	O 281 285
500	O 286 289
and	O 290 293
2,500,	O 294 300
respectively	O 301 313
.	 O 313 314

These	O 315 320
cutoff	B-KP 321 327
titers	I-KP 328 334
conform	O 335 342
with	O 343 347
the	O 348 351
antibody	B-KP 352 360
level	O 361 366
3	O 367 368
standard	O 369 377
deviations	O 378 388
above	O 389 394
the	O 395 398
mean	O 399 403
of	O 404 406
a	O 407 408
reference	O 409 418
population	O 419 429
living	O 430 436
in	O 437 439
an	O 440 442
area	O 443 447
in	O 448 450
central	O 451 458
Finland	O 459 466
with	O 467 471
a	O 472 473
low	O 474 477
LB	B-KP 478 480
prevalence	O 481 491
.	 O 491 492
[	 O 493 494
14	O 494 496
]	 O 496 497
The	O 498 501
antibodies	B-KP 502 512
to	O 513 515
B	B-KP 516 517
.	 I-KP 517 518
burgdorferi	I-KP 519 530
in	O 531 533
the	O 534 537
CSF	B-KP 538 541
were	O 542 546
tested	O 547 553
by	O 554 556
the	O 557 560
same	O 561 565
method	O 566 572
used	O 573 577
for	O 578 581
serum	B-KP 582 587
.	 O 587 588

The	O 589 592
cutoff	O 593 599
limits	O 600 606
for	O 607 610
both	O 611 615
the	O 616 619
IgM	B-KP 620 623
and	O 624 627
IgG	B-KP 628 631
antibodies	B-KP 632 642
in	O 643 645
CSF	B-KP 646 649
were	O 650 654
3.0	O 655 658
in	O 659 661
the	O 662 665
same	O 666 670
scale	O 671 676
as	O 677 679
applied	O 680 687
to	O 688 690
serum	B-KP 691 696
analysis	O 697 705
.	 O 705 706

The	O 707 710
IgG	B-KP 711 714
antibody	B-KP 715 723
titer	B-KP 724 729
of	O 730 732
the	O 733 736
CSF	B-KP 737 740
was	O 741 744
divided	O 745 752
by	O 753 755
the	O 756 759
total	O 760 765
IgG	B-KP 766 769
concentration	O 770 783
in	O 784 786
the	O 787 790
CSF	B-KP 791 794
.	 O 794 795
A	O 796 797
corresponding	O 798 811
ratio	O 812 817
between	O 818 825
the	O 826 829
IgG	B-KP 830 833
antibodies	B-KP 834 844
and	O 845 848
the	O 849 852
total	O 853 858
IgG	B-KP 859 862
concentration	O 863 876
in	O 877 879
the	O 880 883
serum	B-KP 884 889
was	O 890 893
also	O 894 898
calculated	O 899 909
.	 O 909 910

If	O 911 913
the	O 914 917
calculated	O 918 928
ratio	O 929 934
of	O 935 937
the	O 938 941
CSF	B-KP 942 945
was	O 946 949
more	O 950 954
than	O 955 959
2-fold	O 960 966
higher	O 967 973
than	O 974 978
that	O 979 983
of	O 984 986
the	O 987 990
serum	B-KP 991 996
,	 O 996 997
the	O 998 1001
IgG	B-KP 1002 1005
antibodies	B-KP 1006 1016
to	O 1017 1019
B	B-KP 1020 1021
.	 I-KP 1021 1022
burgdorferi	I-KP 1023 1034
in	O 1035 1037
the	O 1038 1041
CSF	B-KP 1042 1045
were	O 1046 1050
considered	O 1051 1061
to	O 1062 1064
be	O 1065 1067
intrathecally	O 1068 1081
synthesized	O 1082 1093
.	 O 1093 1094

Routine	O 1095 1102
chemical	O 1103 1111
and	O 1112 1115
cytological	O 1116 1127
analyses	O 1128 1136
were	O 1137 1141
performed	O 1142 1151
on	O 1152 1154
the	O 1155 1158
CSF	B-KP 1159 1162
.	 O 1162 1163
Syphilis	B-KP 1164 1172
was	O 1173 1176
ruled	O 1177 1182
out	O 1183 1186
as	O 1187 1189
a	O 1190 1191
source	O 1192 1198
of	O 1199 1201
false-positive	O 1202 1216
serological	O 1217 1228
results	O 1229 1236
by	O 1237 1239
an	O 1240 1242
examination	O 1243 1254
for	O 1255 1258
Treponema	B-KP 1259 1268
pallidum	I-KP 1269 1277
antibodies	B-KP 1278 1288
(	 O 1289 1290
hemagglutination	B-KP 1290 1306
assay	I-KP 1307 1312
;	 O 1312 1313
Porton	O 1314 1320
Cambridge	O 1321 1330
,	 O 1330 1331
Newmarket	O 1332 1341
,	 O 1341 1342
Great	O 1343 1348
Britain	O 1349 1356
)	 O 1356 1357
.	 O 1357 1358

