Two	B-KP 0 3
recent	O 4 10
systematic	O 11 21
reviews	I-KP 22 29
focused	I-KP 30 37
on	I-KP 38 40
LD	B-KP 41 43
vaccines	I-KP 44 52
that	I-KP 53 57
are	I-KP 58 61
no	O 62 64
longer	O 65 71
available	O 72 81
on	O 82 84
the	O 85 88
market	O 89 95
.	 O 95 96

Zhao	O 97 101
et	O 102 104
al	O 105 107
.	 O 107 108
(	 O 109 110
2017	O 110 114
)	 O 114 115
concluded	O 116 125
that	O 126 130
whilst	O 131 137
side-effects	O 138 150
were	O 151 155
rare	O 156 160
,	 B-KP 160 161
further	O 162 169
research	O 170 178
on	O 179 181
efficacy	O 182 190
and	O 191 194
safety	O 195 201
was	O 202 205
needed	O 206 212
.	 O 212 213

Badawi	O 214 220
et	O 221 223
al	O 224 226
.	 O 226 227
(	 O 228 229
2017	O 229 233
)	 O 233 234
compared	O 235 243
monovalent	O 244 254
vaccines	O 255 263
(	 O 264 265
LYMErix	O 265 272
,	 I-KP 272 273
ImmuLyme	I-KP 274 282
)	 I-KP 282 283
(	 O 284 285
neither	O 285 292
currently	O 293 302
available	B-KP 303 312
)	 O 312 313
with	O 314 318
preliminary	O 319 330
data	O 331 335
for	O 336 339
next-generation	O 340 355
multivalent	O 356 367
vaccines	O 368 376
and	B-KP 377 380
concluded	I-KP 381 390
that	O 391 395
the	O 396 399
multivalent	O 400 411
vaccine	O 412 419
was	O 420 423
slightly	O 424 432
more	O 433 437
tolerable	O 438 447
than	O 448 452
the	O 453 456
monovalent	O 457 467
one	O 468 471
,	 O 471 472
which	O 473 478
in	O 479 481
turn	O 482 486
was	O 487 490
not	O 491 494
worse	O 495 500
than	O 501 505
other	B-KP 506 511
vaccines	O 512 520
in	O 521 523
the	O 524 527
USA-based	O 528 537
Vaccine	O 538 545
Adverse	O 546 553
Event	O 554 559
Reporting	O 560 569
System	O 570 576
(	 O 577 578
VAERS	O 578 583
)	 O 583 584
.	 O 584 585

Despite	O 586 593
approval	O 594 602
for	O 603 606
the	O 607 610
LYMErix	O 611 618
vaccine	O 619 626
by	O 627 629
the	O 630 633
US	O 634 636
Food	O 637 641
and	O 642 645
Drug	O 646 650
Administration	O 651 665
(	 O 666 667
FDA	O 667 670
)	 O 670 671
,	 O 671 672
the	O 673 676
LYMErix	O 677 684
vaccine	O 685 692
was	O 693 696
voluntarily	O 697 708
withdrawn	O 709 718
from	O 719 723
the	O 724 727
market	O 728 734
,	 O 734 735
in	O 736 738
2002	O 739 743
,	 O 743 744
due	O 745 748
to	O 749 751
poor	O 752 756
sales	O 757 762
.	 O 762 763

The	O 764 767
replacement	O 768 779
of	O 780 782
monovalent	O 783 793
vaccines	O 794 802
with	O 803 807
vaccines	O 808 816
that	O 817 821
have	O 822 826
a	O 827 828
similar	O 829 836
approach	O 837 845
may	O 846 849
,	 O 849 850
therefore	O 851 860
,	 O 860 861
not	O 862 865
be	O 866 868
the	O 869 872
best	O 873 877
method	O 878 884
for	O 885 888
new	O 889 892
vaccine	O 893 900
development	O 901 912
(	 O 913 914
Badawi	O 914 920
et	O 921 923
al	O 924 926
.	 O 926 927
,	 O 927 928
2017	O 929 933
)	 O 933 934
.	 O 934 935

Only	O 936 940
one	O 941 944
review	O 945 951
examined	O 952 960
the	O 961 964
effect	O 965 971
of	O 972 974
antibiotic	O 975 985
prophylaxis	O 986 997
(	 O 998 999
after	O 999 1004
a	O 1005 1006
bite	O 1007 1011
)	 O 1011 1012
.	 O 1012 1013

In	O 1014 1016
this	O 1017 1021
review	O 1022 1028
,	 O 1028 1029
Warshafsky	O 1030 1040
et	O 1041 1043
al	O 1044 1046
.	 O 1046 1047
(	 O 1048 1049
2010	O 1049 1053
)	 O 1053 1054
concluded	O 1055 1064
that	O 1065 1069
pooled	O 1070 1076
data	O 1077 1081
from	O 1082 1086
four	O 1087 1091
placebo-controlled	O 1092 1110
trials	O 1111 1117
supported	O 1118 1127
the	O 1128 1131
use	O 1132 1135
of	O 1136 1138
antibiotic	O 1139 1149
prophylaxis	O 1150 1161
in	O 1162 1164
endemic	O 1165 1172
areas	O 1173 1178
.	 O 1178 1179

