Two	O 0 3
matched	O 4 11
case-control	O 12 24
studies	O 25 32
sampled	O 33 40
participants	O 41 53
with	O 54 58
and	O 59 62
without	O 63 70
LD	B-KP 71 73
(	 O 74 75
Connally	O 75 83
et	O 84 86
al	O 87 89
.	 O 89 90
,	 O 90 91
2009	O 92 96
;	 O 96 97
Vazquez	O 98 105
et	O 106 108
al	O 109 111
.	 O 111 112
,	 O 112 113
2008	O 114 118
)	 O 118 119
.	 O 119 120

Findings	O 121 129
showed	O 130 136
that	O 137 141
the	O 142 145
use	O 146 149
of	O 150 152
tick	O 153 157
repellents	O 158 168
on	O 169 171
skin	O 172 176
or	O 177 179
clothing	O 180 188
was	O 189 192
associated	O 193 203
with	O 204 208
lower	O 209 214
rates	O 215 220
of	O 221 223
LD	B-KP 224 226
(	 O 227 228
adjusted9	O 228 237
OR	O 238 240
0.8,	O 241 245
95	O 246 248
%	 O 248 249
CI	O 250 252
0.6	O 253 256
to	O 257 259
0.9	O 260 263
for	O 264 267
Vazquez	O 268 275
et	O 276 278
al	O 279 281
.	 O 281 282
,	 O 282 283
2008	O 284 288
;	 O 288 289
OR	O 290 292
0.71,	O 293 298
95	O 299 301
%	 O 301 302
CI	O 303 305
0.49	O 306 310
to	O 311 313
1.02,	O 314 319
p	O 320 321
<	O 322 323
0.1	O 324 327
for	O 328 331
Connally	O 332 340
et	O 341 343
al	O 344 346
.	 O 346 347
(	 O 348 349
2009	O 349 353
)	 O 353 354
.	 O 354 355

Similarly	O 356 365
,	 O 365 366
Vazquez	O 367 374
et	O 375 377
al	O 378 380
.	 O 380 381
(	 O 382 383
2008	O 383 387
)	 O 387 388
showed	O 389 395
that	O 396 400
wearing	O 401 408
protective	O 409 419
clothes	O 420 427
was	O 428 431
effective	O 432 441
(	 O 442 443
adjusted	O 443 451
OR	O 452 454
0.6,	O 455 459
95	O 460 462
%	 O 462 463
CI	O 464 466
0.5	O 467 470
to	O 471 473
0.7).	O 474 479

Connally	O 480 488
et	O 489 491
al	O 492 494
.	 O 494 495
(	 O 496 497
2009	O 497 501
)	 O 501 502
(	 O 503 504
p	O 504 505
>	O 506 507
0.20)	O 508 513
reported	O 514 522
that	O 523 527
wearing	O 528 535
light-coloured	O 536 550
clothes	O 551 558
(	 O 559 560
cases	O 560 565
88	O 566 568
%	 O 568 569
v	O 570 571
controls	O 572 580
90	O 581 583
%	 O 583 584
)	 O 584 585
and	O 586 589
long	O 590 594
trousers	O 595 603
(	 O 604 605
cases	O 605 610
65	O 611 613
%	 O 613 614
v	O 615 616
controls	O 617 625
70	O 626 628
%	 O 628 629
)	 O 629 630
were	O 631 635
less	O 636 640
common	O 641 647
among	O 648 653
people	O 654 660
diagnosed	O 661 670
with	O 671 675
LD	B-KP 676 678
,	 O 678 679
compared	O 680 688
with	O 689 693
controls	O 694 702
,	 O 702 703
but	O 704 707
the	O 708 711
differences	O 712 723
were	O 724 728
not	O 729 732
statistically	O 733 746
significant	O 747 758
.	 O 758 759

The	O 760 763
evidence	O 764 772
was	O 773 776
mixed	O 777 782
for	O 783 786
tick	O 787 791
checking	O 792 800
;	 O 800 801
being	O 802 807
identified	O 808 818
as	O 819 821
preventative	O 822 834
in	O 835 837
Connally	O 838 846
et	O 847 849
al	O 850 852
.	 O 852 853
(	 O 854 855
2009	O 855 859
)	 O 859 860
(	 O 861 862
OR	O 862 864
0.64,	O 865 870
95	O 871 873
%	 O 873 874
CI	O 875 877
0.43	O 878 882
to	O 883 885
0.94),	O 886 892
but	O 893 896
not	O 897 900
in	O 901 903
Vazquez	O 904 911
et	O 912 914
al	O 915 917
.	 O 917 918
(	 O 919 920
2008	O 920 924
)	 O 924 925
(	 O 926 927
OR	O 927 929
1.1,	O 930 934
95	O 935 937
%	 O 937 938
CI	O 939 941
0.8	O 942 945
to	O 946 948
1.4,	O 949 953
NS	O 954 956
)	 O 956 957
.	 O 957 958

Connally	O 959 967
et	O 968 970
al	O 971 973
.	 O 973 974
(	 O 975 976
2009	O 976 980
)	 O 980 981
additionally	O 982 994
showed	O 995 1001
that	O 1002 1006
bathing	O 1007 1014
within	O 1015 1021
2	O 1022 1023
h	O 1024 1025
of	O 1026 1028
being	O 1029 1034
outside	O 1035 1042
in	O 1043 1045
the	O 1046 1049
garden	O 1050 1056
may	O 1057 1060
prevent	O 1061 1068
LD	B-KP 1069 1071
(	 O 1072 1073
OR	O 1073 1075
0.60,	O 1076 1081
95	O 1082 1084
%	 O 1084 1085
CI	O 1086 1088
0.38	O 1089 1093
to	O 1094 1096
0.96,	O 1097 1102
p	O 1103 1104
<	O 1105 1106
0.05).	O 1107 1113

