Low-quality	O 0 11
evidence	O 12 20
suggested	O 21 30
that	O 31 35
permethrin-treated	B-KP 36 54
(	 O 55 56
vs	O 56 58
.	 O 58 59

untreated	O 60 69
)	 O 69 70
battle	O 71 77
uniform	O 78 85
[	 O 86 87
Faulde	O 87 93
et	O 94 96
al	O 97 99
.	 O 99 100
,	 O 100 101
2015	O 102 106
]	 O 106 107
and	O 108 111
Citriodiol	B-KP 112 122
insect	B-KP 123 129
repellent	I-KP 130 139
[	 O 140 141
Gardulf	O 141 148
et	O 149 151
al	O 152 154
.	 O 154 155
,	 O 155 156
2004	O 157 161
]	 O 161 162
may	O 163 166
reduce	O 167 173
the	O 174 177
frequency	O 178 187
of	O 188 190
tick	O 191 195
bites	O 196 201
.	 O 201 202
[	 O 203 204
Faulde	O 204 210
et	O 211 213
al	O 214 216
.	 O 216 217
(2015)'s]	O 218 227
historical	O 228 238
controlled	O 239 249
study	O 250 255
showed	O 256 262
that	O 263 267
in	O 268 270
2009	O 271 275
,	 O 275 276
tick	O 277 281
bite	O 282 286
incidence	O 287 296
was	O 297 300
39.3	O 301 305
with	O 306 310
262	O 311 314
bites	O 315 320
in	O 321 323
66,679	O 324 330
exposure	O 331 339
days	O 340 344
,	 O 344 345
whilst	O 346 352
in	O 353 355
2010	O 356 360
(	 O 361 362
when	O 362 366
the	O 367 370
treated	O 371 378
uniform	O 379 386
was	O 387 390
worn	O 391 395
)	 O 395 396
the	O 397 400
incidence	O 401 410
was	O 411 414
0.16	O 415 419
with	O 420 424
53	O 425 427
bites	O 428 433
in	O 434 436
63,571	O 437 443
exposure	O 444 452
days	O 453 457
(	 O 458 459
representing	O 459 471
a	O 472 473
99.6%	O 474 479
reduction	O 480 489
)	 O 489 490
.	 O 490 491

The	O 492 495
same	O 496 500
pattern	O 501 508
of	O 509 511
findings	O 512 520
was	O 521 524
reported	O 525 533
in	O 534 536
2011	O 537 541
(	 O 542 543
representing	O 543 555
a	O 556 557
98.6%	O 558 563
reduction	O 564 573
)	 O 573 574
.	 O 574 575

In	O 576 578
[	 O 579 580
Gardulf	O 580 587
et	O 588 590
al	O 591 593
.	 O 593 594
(2004)'s]	O 595 604
crossover	O 605 614
RCT	B-KP 615 618
,	 O 618 619
lemon	B-KP 620 625
eucalyptus	I-KP 626 636
extract	I-KP 637 644
(	 O 645 646
Citriodiol10	B-KP 646 658
)	 O 658 659
was	O 660 663
self-applied	O 664 676
to	O 677 679
participants	O 680 692
'	 O 692 693
legs	O 694 698
.	 O 698 699

Overall	O 700 707
,	 O 707 708
there	O 709 714
were	O 715 719
fewer	O 720 725
tick	O 726 730
bites	O 731 736
per	O 737 740
person	O 741 747
with	O 748 752
the	O 753 756
spray	O 757 762
compared	O 763 771
with	O 772 776
no	O 777 779
spray	O 780 785
,	 O 785 786
(	 O 787 788
median	O 788 794
0.5,	O 795 799
range	O 800 805
0	O 806 807
to	O 808 810
2	O 811 812
with	O 813 817
;	 O 817 818
median	O 819 825
1.5,	O 826 830
range	O 831 836
0	O 837 838
to	O 839 841
9	O 842 843
without	O 844 851
;	 O 851 852
z−2.02,	O 853 860
p	O 861 862
<	O 863 864
0.05)	O 865 870
and	O 871 874
fewer	O 875 880
ticks	O 881 886
,	 O 886 887
that	O 888 892
were	O 893 897
crawling	O 898 906
(	 O 907 908
not	O 908 911
attached	O 912 920
)	 O 920 921
(	 O 922 923
median	O 923 929
3.5,	O 930 934
range	O 935 940
1	O 941 942
to	O 943 945
13	O 946 948
with	O 949 953
;	 O 953 954
median	O 955 961
4.0,	O 962 966
range	O 967 972
1	O 973 974
to	O 975 977
20	O 978 980
without	O 981 988
;	 O 988 989
NS	O 990 992
)	 O 992 993
.	 O 993 994

