Over	O 0 4
the	O 5 8
study	O 9 14
period	O 15 21
,	 O 21 22
932	O 23 26
LB	B-KP 27 29
cases	O 30 35
were	O 36 40
reported	O 41 49
by	O 50 52
SGPs	B-KP 53 57
of	O 58 60
which	O 61 66
,	 O 66 67
265	O 68 71
were	O 72 76
excluded	O 77 85
by	O 86 88
the	O 89 92
expert	O 93 99
group	O 100 105
for	O 106 109
the	O 110 113
following	O 114 123
reasons	O 124 131
:	 O 131 132
did	O 133 136
not	O 137 140
meet	O 141 145
the	O 146 149
case	O 150 154
definition	O 155 165
(	 O 166 167
n	O 167 168
=	O 169 170
61	O 171 173
)	 O 173 174
,	 O 174 175
clinical	O 176 184
manifestation	O 185 198
not	O 199 202
described	O 203 212
(	 O 213 214
n	O 214 215
=	O 216 217
146	O 218 221
)	 O 221 222
,	 O 222 223
absence	O 224 231
of	O 232 234
serology	O 235 243
confirmation	O 244 256
for	O 257 260
disseminated	O 261 273
LB	O 274 276
(	 O 277 278
n	O 278 279
=	O 280 281
44	O 282 284
)	 O 284 285
,	 O 285 286
no	O 287 289
lumbar	O 290 296
puncture	O 297 305
for	O 306 309
neurological	O 310 322
manifestations	O 323 337
,	 O 337 338
except	O 339 345
for	O 346 349
meningoradiculitis	B-KP 350 368
or	O 369 371
unilateral	B-KP 372 382
facial	I-KP 383 389
paralysis	I-KP 390 399
(	 O 400 401
n	O 401 402
=	O 403 404
14	O 405 407
)	 O 407 408
.	 O 408 409

A	O 410 411
total	O 412 417
of	O 418 420
667	O 421 424
LB	B-KP 425 427
cases	O 428 433
were	O 434 438
included	O 439 447
(	 O 448 449
94	O 449 451
in	O 452 454
2011	O 455 459
,	 O 459 460
85	O 461 463
in	O 464 466
2012	O 467 471
,	 O 471 472
113	O 473 476
in	O 477 479
2013	O 480 484
,	 O 484 485
76	O 486 488
in	O 489 491
2014	O 492 496
,	 O 496 497
105	O 498 501
in	O 502 504
2015	O 505 509
and	O 510 513
194	O 514 517
in	O 518 520
2016	O 521 525
)	 O 525 526
.	 O 526 527

