Of	O 0 2
667	O 3 6
diagnoses	O 7 16
,	 O 16 17
633	O 18 21
were	O 22 26
EM	B-KP 27 29
diagnoses	O 30 39
(	 O 40 41
95	O 41 43
%	 O 43 44
)	 O 44 45
,	 O 45 46
591	O 47 50
(	 O 51 52
96	O 52 54
%	 O 54 55
)	 O 55 56
were	O 57 61
solitary	B-KP 62 70
lesions	I-KP 71 78
,	 O 78 79
465	O 80 83
(	 O 84 85
75	O 85 87
%	 O 87 88
)	 O 88 89
were	O 90 94
equal	O 95 100
or	O 101 103
greater	O 104 111
than	O 112 116
5	O 117 118
cm	O 119 121
,	 O 121 122
537	O 123 126
(	 O 127 128
94	O 128 130
%	 O 130 131
)	 O 131 132
had	O 133 136
a	O 137 138
centrifugal	O 139 150
extension	O 151 160
and	O 161 164
393	O 165 168
(	 O 169 170
68	O 170 172
%	 O 172 173
)	 O 173 174
had	O 175 178
a	O 179 180
central	O 181 188
clearing	O 189 197
(	 O 198 199
Table	O 199 204
2	O 205 206
)	 O 206 207
.	 O 207 208

A	O 209 210
total	O 211 216
of	O 217 219
34	O 220 222
cases	O 223 228
presented	O 229 238
with	O 239 243
disseminated	O 244 256
LB	B-KP 257 259
(	 O 260 261
5	O 261 262
%	 O 262 263
)	 O 263 264
,	 O 264 265
corresponding	O 266 279
to	O 280 282
arthritis	B-KP 283 292
(	 O 293 294
n	O 294 295
=	O 296 297
17	O 298 300
)	 O 300 301
,	 O 301 302
acrodermatitis	B-KP 303 317
(	 O 318 319
n	O 319 320
=	O 321 322
6	O 323 324
)	 O 324 325
,	 O 325 326
lymphocytoma	B-KP 327 339
(	 O 340 341
n	O 341 342
=	O 343 344
4	O 345 346
)	 O 346 347
,	 O 347 348
radiculitis	B-KP 349 360
(	 O 361 362
n	O 362 363
=	O 364 365
4	O 366 367
)	 O 367 368
,	 O 368 369
facial	B-KP 370 376
paralysis	I-KP 377 386
(	 O 387 388
n	O 388 389
=	O 390 391
2	O 392 393
)	 O 393 394
and	O 395 398
both	O 399 403
meningoradiculitis	B-KP 404 422
and	O 423 426
radiculitis	B-KP 427 438
(	 O 439 440
n	O 440 441
=	O 442 443
1	O 444 445
)	 O 445 446
.	 O 446 447

