The	O 0 3
vector	B-KP 4 10
,	 O 10 11
the	O 12 15
tick	O 16 20
Ixodes	B-KP 21 27
ricinus	I-KP 28 35
is	O 36 38
present	O 39 46
in	O 47 49
most	O 50 54
parts	O 55 60
of	O 61 63
mainland	O 64 72
France	O 73 79
,	 O 79 80
except	O 81 87
above	O 88 93
1,200	O 94 99
m	O 100 101
and	O 102 105
in	O 106 108
the	O 109 112
dry	O 113 116
Mediterranean	O 117 130
areas	O 131 136
[	 O 137 138
36	O 138 140
]	 O 140 141
.	 O 141 142

Ixodes	B-KP 143 149
ricinus	I-KP 150 157
ticks	O 158 163
,	 O 163 164
the	O 165 168
primary	O 169 176
vector	O 177 183
in	O 184 186
Europe	O 187 193
,	 O 193 194
are	O 195 198
usually	O 199 206
found	O 207 212
in	O 213 215
vegetation	O 216 226
types	O 227 232
with	O 233 237
deciduous	O 238 247
or	O 248 250
mixed	O 251 256
woodland	O 257 265
that	O 266 270
maintain	O 271 279
high	O 280 284
humidity	O 285 293
(	 O 294 295
requiring	O 295 304
a	O 305 306
relative	O 307 315
humidity	O 316 324
of	O 325 327
at	O 328 330
least	O 331 336
80	O 337 339
%	 O 339 340
)	 O 340 341
and	O 342 345
in	O 346 348
areas	O 349 354
of	O 355 357
moderate	O 358 366
to	O 367 369
high	O 370 374
rainfall	O 375 383
,	 O 383 384
such	O 385 389
as	O 390 392
in	O 393 395
eastern	O 396 403
and	O 404 407
central	O 408 415
regions	O 416 423
of	O 424 426
mainland	O 427 435
France	O 436 442
[4,36-38]	O 443 452
.	O 452 453

Since	O 454 459
infection	O 460 469
is	O 470 472
correlated	O 473 483
with	O 484 488
tick	O 489 493
abundance	O 494 503
and	O 504 507
human	O 508 513
to	O 514 516
tick	O 517 521
exposure	O 522 530
,	 O 530 531
this	O 532 536
variability	O 537 548
in	O 549 551
incidence	O 552 561
rates	O 562 567
could	O 568 573
be	O 574 576
explained	O 577 586
by	O 587 589
differences	O 590 601
in	O 602 604
geographical	O 605 617
and	O 618 621
climate	O 622 629
characteristics	O 630 645
,	 O 645 646
in	O 647 649
types	O 650 655
of	O 656 658
exposure	O 659 667
(	 O 668 669
recreational	O 669 681
and	O 682 685
occupational	O 686 698
exposure	O 699 707
to	O 708 710
ticks	O 711 716
and	O 717 720
outdoor	O 721 728
activities	O 729 739
)	 O 739 740
and	O 741 744
presence	O 745 753
of	O 754 756
competent	O 757 766
reservoir	O 767 776
hosts	O 777 782
.	 O 782 783

Tick	O 784 788
nymphs	B-KP 789 795
are	O 796 799
mainly	O 800 806
responsible	O 807 818
for	O 819 822
transmitting	O 823 835
Borrelia	B-KP 836 844
to	O 845 847
humans	O 848 854
and	O 855 858
quest	O 859 864
most	O 865 869
actively	O 870 878
from	O 879 883
spring	O 884 890
to	O 891 893
autumn	O 894 900
[4,36,37]	O 901 910
.	O 910 911

Diagnoses	O 912 921
of	O 922 924
acute	O 925 930
LB	B-KP 931 933
peak	O 934 938
in	O 939 941
summer	O 942 948
in	O 949 951
many	O 952 956
northern	O 957 965
and	O 966 969
central	O 970 977
countries	O 978 987
of	O 988 990
Europe	O 991 997
[	 O 998 999
4	O 999 1000
]	 O 1000 1001
.	 O 1001 1002

These	O 1003 1008
findings	O 1009 1017
were	O 1018 1022
also	O 1023 1027
confirmed	O 1028 1037
in	O 1038 1040
our	O 1041 1044
study	O 1045 1050
with	O 1051 1055
higher	O 1056 1062
incidences	O 1063 1073
of	O 1074 1076
LB	B-KP 1077 1079
from	O 1080 1084
July	O 1085 1089
to	O 1090 1092
September	O 1093 1102
.	 O 1102 1103

