The	O 0 3
underlying	O 4 14
aetiology	O 15 24
of	O 25 27
LS	B-KP 28 30
remains	O 31 38
unidentified	O 39 51
;	 O 51 52
however	O 53 60
,	 O 60 61
several	O 62 69
possible	O 70 78
causes	O 79 85
have	O 86 90
been	O 91 95
suggested	O 96 105
,	 O 105 106
ranging	O 107 114
from	O 115 119
chronic	O 120 127
irritation	O 128 138
to	O 139 141
an	O 142 144
autoimmune	O 145 155
component	O 156 165
,	 O 165 166
as	O 167 169
well	O 170 174
as	O 175 177
infectious	O 178 188
causes	O 189 195
.	 O 195 196
[	 O 197 198
1	O 198 199
]	 O 199 200
Infection	O 201 210
with	O 211 215
Borrelia	B-KP 216 224
burgdorferi	I-KP 225 236
,	 O 236 237
the	O 238 241
causative	B-KP 242 251
organism	I-KP 252 260
of	O 261 263
Lyme	B-KP 264 268
disease	I-KP 269 276
,	 O 276 277
has	O 278 281
been	O 282 286
proposed	O 287 295
as	O 296 298
a	O 299 300
possible	O 301 309
aetiology	B-KP 310 319
,	 O 319 320
due	O 321 324
to	O 325 327
a	O 328 329
similarity	O 330 340
in	O 341 343
their	O 344 349
histological	O 350 362
features	O 363 371
and	O 372 375
the	O 376 379
identification	O 380 394
of	O 395 397
Borrelia	B-KP 398 406
organisms	I-KP 407 416
in	O 417 419
some	O 420 424
cases	O 425 430
of	O 431 433
LS	O 434 436
.	 O 436 437
[	 O 438 439
4	O 439 440
]	 O 440 441
Evidence	O 442 450
of	O 451 453
this	O 454 458
association	O 459 470
has	O 471 474
remained	O 475 483
conflicting	O 484 495
over	O 496 500
the	O 501 504
years	O 505 510
,	 O 510 511
due	O 512 515
in	O 516 518
part	O 519 523
to	O 524 526
the	O 527 530
overall	O 531 538
lack	O 539 543
of	O 544 546
consistency	O 547 558
in	O 559 561
identifying	O 562 573
Borrelia	B-KP 574 582
in	O 583 585
many	O 586 590
LS	B-KP 591 593
cases	O 594 599
and	O 600 603
in	O 604 606
general	O 607 614
.	 O 614 615
[1,5,6]	O 616 623
Furthermore	O 624 635
,	 O 635 636
LS	B-KP 637 639
does	O 640 644
not	O 645 648
appear	O 649 655
to	O 656 658
have	O 659 663
predominantly	O 664 677
infectious	O 678 688
characteristics	O 689 704
,	 O 704 705
as	O 706 708
there	O 709 714
has	O 715 718
been	O 719 723
only	O 724 728
a	O 729 730
single	O 731 737
case	O 738 742
report	O 743 749
of	O 750 752
LS	B-KP 753 755
occurring	O 756 765
in	O 766 768
sexual	O 769 775
partners	O 776 784
.	 O 784 785
[	 O 786 787
5	O 787 788
]	 O 788 789
This	O 790 794
does	O 795 799
not	O 800 803
,	 O 803 804
however	O 805 812
,	 O 812 813
discount	O 814 822
the	O 823 826
possibility	O 827 838
that	O 839 843
LS	B-KP 844 846
is	O 847 849
a	O 850 851
reactive	O 852 860
process	O 861 868
occurring	O 869 878
in	O 879 881
Borrelia-infected	B-KP 882 899
skin	I-KP 900 904
or	O 905 907
soft	B-KP 908 912
tissue	I-KP 913 919
.	 O 919 920

It	O 921 923
is	O 924 926
interesting	O 927 938
to	O 939 941
note	O 942 946
that	O 947 951
the	O 952 955
various	O 956 963
instances	O 964 973
of	O 974 976
Borrelia	B-KP 977 985
involvement	O 986 997
of	O 998 1000
LS	O 1001 1003
have	O 1004 1008
all	O 1009 1012
been	O 1013 1017
reported	O 1018 1026
in	O 1027 1029
European	O 1030 1038
cases	O 1039 1044
,	 O 1044 1045
with	O 1046 1050
no	O 1051 1053
previous	O 1054 1062
cases	O 1063 1068
reported	O 1069 1077
in	O 1078 1080
the	O 1081 1084
United	O 1085 1091
States	O 1092 1098
.	 O 1098 1099
[	 O 1100 1101
1	O 1101 1102
]	 O 1102 1103
While	O 1104 1109
spirochaetal	B-KP 1110 1122
forms	I-KP 1123 1128
have	O 1129 1133
been	O 1134 1138
observed	O 1139 1147
histologically	O 1148 1162
in	O 1163 1165
US	O 1166 1168
cases	O 1169 1174
of	O 1175 1177
LS	B-KP 1178 1180
,	 O 1180 1181
further	O 1182 1189
identification	O 1190 1204
of	O 1205 1207
these	O 1208 1213
organisms	O 1214 1223
as	O 1224 1226
Borrelia	B-KP 1227 1235
has	O 1236 1239
not	O 1240 1243
been	O 1244 1248
demonstrated	O 1249 1261
by	O 1262 1264
serology	B-KP 1265 1273
,	 O 1273 1274
polymerase	B-KP 1275 1285
chain	I-KP 1286 1291
reaction	I-KP 1292 1300
(	 O 1301 1302
PCR	B-KP 1302 1305
)	 O 1305 1306
,	 O 1306 1307
culture	B-KP 1308 1315
or	O 1316 1318
immunohistochemistry	B-KP 1319 1339
.	 O 1339 1340
[	 O 1341 1342
7	O 1342 1343
]	 O 1343 1344
This	O 1345 1349
regional	O 1350 1358
difference	O 1359 1369
may	O 1370 1373
be	O 1374 1376
explained	O 1377 1386
by	O 1387 1389
the	O 1390 1393
variation	O 1394 1403
in	O 1404 1406
the	O 1407 1410
geographical	O 1411 1423
distribution	O 1424 1436
of	O 1437 1439
different	O 1440 1449
genotypic	B-KP 1450 1459
species	I-KP 1460 1467
of	O 1468 1470
Borrelia	B-KP 1471 1479
,	 O 1479 1480
with	O 1481 1485
disease	O 1486 1493
in	O 1494 1496
North	O 1497 1502
America	O 1503 1510
associated	O 1511 1521
with	O 1522 1526
a	O 1527 1528
single	O 1529 1535
type	O 1536 1540
and	O 1541 1544
European	O 1545 1553
cases	O 1554 1559
being	O 1560 1565
linked	O 1566 1572
to	O 1573 1575
multiple	O 1576 1584
genetically	O 1585 1596
distinct	O 1597 1605
strains	O 1606 1613
.	 O 1613 1614
[	 O 1615 1616
7	O 1616 1617
]	 O 1617 1618
