These	O 0 5
exclusions	O 6 16
left	O 17 21
373	O 22 25
persons	O 26 33
the	O 34 37
reporting	O 38 47
physician	O 48 57
thought	O 58 65
had	O 66 69
Lyme	B-KP 70 74
disease	I-KP 75 82
.	 O 82 83

Ninety	O 84 90
did	O 91 94
not	O 95 98
meet	O 99 103
CDC's	B-KP 104 109
case	O 110 114
definition	O 115 125
(	 O 126 127
7	O 127 128
)	 O 128 129
and	O 130 133
were	O 134 138
excluded	O 139 147
from	O 148 152
analysis	O 153 161
.	 O 161 162

The	O 163 166
reasons	O 167 174
for	O 175 178
exclusion	O 179 188
were	O 189 193
32	O 194 196
had	O 197 200
erythema	B-KP 201 209
migrans	I-KP 210 217
(	 O 218 219
EM	B-KP 219 221
)	 O 221 222
less	O 223 227
than	O 228 232
5	O 233 234
centimeters	O 235 246
(	 O 247 248
cm	O 248 250
)	 O 250 251
in	O 252 254
size	O 255 259
;	 O 259 260
23	O 261 263
,	 O 263 264
flu-like	O 265 273
symptoms	O 274 282
and	O 283 286
positive	O 287 295
serology	O 296 304
;	 O 304 305
18	O 306 308
,	 O 308 309
incomplete	O 310 320
information	O 321 332
;	 O 332 333
9	O 334 335
,	 O 335 336
arthralgia	B-KP 337 347
(	 O 348 349
that	O 349 353
is	O 354 356
,	 O 356 357
no	O 358 360
reported	O 361 369
joint	O 370 375
swelling	O 376 384
)	 O 384 385
and	O 386 389
positive	O 390 398
serology	O 399 407
;	 O 407 408
and	O 409 412
8	O 413 414
,	 O 414 415
only	O 416 420
tick	O 421 425
bite	O 426 430
with	O 431 435
or	O 436 438
without	O 439 446
positive	O 447 455
serology	O 456 464
.	 O 464 465

The	O 466 469
90	O 470 472
not	O 473 476
meeting	O 477 484
the	O 485 488
case	O 489 493
definition	O 494 504
were	O 505 509
treated	O 510 517
,	 O 517 518
usually	O 519 526
with	O 527 531
oral	B-KP 532 536
doxycycline	I-KP 537 548
or	O 549 551
tetracycline	B-KP 552 564
.	 O 564 565

