More	O 0 4
than	O 5 9
half	O 10 14
the	O 15 18
subjects	O 19 27
(	 O 28 29
154	O 29 32
or	O 33 35
54.4	O 36 40
percent	O 41 48
)	 O 48 49
had	O 50 53
joint	O 54 59
complaints	O 60 70
.	 O 70 71

Ninety-four	O 72 83
(33.2	O 84 89
percent	O 90 97
)	 O 97 98
had	O 99 102
only	O 103 107
arthritis	O 108 117
as	O 118 120
a	O 121 122
complaint	O 123 132
,	 O 132 133
and	O 134 137
arthritis	O 138 147
occurred	O 148 156
more	O 157 161
frequently	O 162 172
(	 O 173 174
odds	O 174 178
ratio	O 179 184
[	 O 185 186
OR	O 186 188
]	 O 188 189
1.6;	O 190 194
confidence	O 195 205
interval	O 206 214
[	 O 215 216
CI	O 216 218
]	 O 218 219
0.9-2.7;	O 220 228
P=0.09)	O 229 236
in	O 237 239
females	O 240 247
(	 O 248 249
57	O 249 251
of	O 252 254
139	O 255 258
or	O 259 261
41.0	O 262 266
percent	O 267 274
)	 O 274 275
than	O 276 280
in	O 281 283
males	O 284 289
(	 O 290 291
44	O 291 293
of	O 294 296
144	O 297 300
or	O 301 303
30.6	O 304 308
percent	O 309 316
)	 O 316 317
.	 O 317 318

Neurological	B-KP 319 331
abnormalities	I-KP 332 345
were	O 346 350
present	O 351 358
in	O 359 361
27	O 362 364
subjects	O 365 373
and	O 374 377
included	O 378 386
a	O 387 388
combination	O 389 400
of	O 401 403
the	O 404 407
following	O 408 417
:	 O 417 418
17	O 419 421
had	O 422 425
facial	B-KP 426 432
palsy	I-KP 433 438
;	 O 438 439
7	O 440 441
,	 O 441 442
lymphocytic	B-KP 443 454
meningitis	I-KP 455 465
;	 O 465 466
6	O 467 468
,	 O 468 469
peripheral	B-KP 470 480
radiculitis	I-KP 481 492
;	 O 492 493
and	O 494 497
2	O 498 499
,	 O 499 500
en-	B-KP 501 504
cephalitis	I-KP 505 515
.	 O 515 516

Eleven	O 517 523
had	O 524 527
neurological	O 528 540
findings	O 541 549
in	O 550 552
either	O 553 559
the	O 560 563
presence	O 564 572
of	O 573 575
,	 O 575 576
or	O 577 579
documented	O 580 590
history	O 591 598
of	O 599 601
,	 O 601 602
EM	B-KP 603 605
while	O 606 611
16	O 612 614
did	O 615 618
not	O 619 622
.	 O 622 623

Five	O 624 628
also	O 629 633
had	O 634 637
arthritis	O 638 647
.	 O 647 648

The	O 649 652
most	O 653 657
common	O 658 664
neurological	O 665 677
presentation	O 678 690
was	O 691 694
facial	B-KP 695 701
palsy	I-KP 702 707
by	O 708 710
itself	O 711 717
;	 O 717 718
this	O 719 723
condition	O 724 733
was	O 734 737
present	O 738 745
in	O 746 748
16	O 749 751
(	 O 752 753
8	O 753 754
with	O 755 759
EM	B-KP 760 762
and	O 763 766
1	O 767 768
each	O 769 773
with	O 774 778
concomitant	B-KP 779 790
arthritis	I-KP 791 800
or	O 801 803
EM	B-KP 804 806
and	O 807 810
arthritis	O 811 820
)	 O 820 821
.	 O 821 822

Seven	O 823 828
patients	O 829 837
had	O 838 841
heart	O 842 847
block	O 848 853
with	O 854 858
positive	O 859 867
serologi-	O 868 877
cal	O 878 881
tests	O 882 887
for	O 888 891
Lyme	B-KP 892 896
disease	I-KP 897 904
.	 O 904 905

Three	O 906 911
of	O 912 914
these	O 915 920
also	O 921 925
had	O 926 929
EM	B-KP 930 932
,	 O 932 933
or	O 934 936
documented	O 937 947
EM	B-KP 948 950
in	O 951 953
the	O 954 957
past	O 958 962
,	 O 962 963
while	O 964 969
four	O 970 974
had	O 975 978
concomitant	B-KP 979 990
arthritis	I-KP 991 1000
(	 O 1001 1002
see	O 1002 1005
figure	O 1006 1012
)	 O 1012 1013
.	 O 1013 1014

