Sixty	O 0 5
patients	O 6 14
(21.2	O 15 20
percent	O 21 28
)	 O 28 29
received	O 30 38
intravenous	B-KP 39 50
therapy	I-KP 51 58
.	 O 58 59

Ceftriaxone	B-KP 60 71
,	 O 71 72
with	O 73 77
or	O 78 80
without	O 81 88
other	O 89 94
antibiotics	B-KP 95 106
,	 O 106 107
was	O 108 111
most	O 112 116
frequently	O 117 127
used	O 128 132
(	 O 133 134
57	O 134 136
,	 O 136 137
95	O 138 140
percent	O 141 148
)	 O 148 149
.	 O 149 150

As	O 151 153
expected	O 154 162
,	 O 162 163
intravenous	B-KP 164 175
antibiotics	I-KP 176 187
were	O 188 192
used	O 193 197
more	O 198 202
frequently	O 203 213
(	 O 214 215
OR	O 215 217
3.7;	O 218 222
CI	O 223 225
1.9-7.0;	O 226 234
P<0.001)	O 235 243
in	O 244 246
those	O 247 252
with	O 253 257
arthritic	B-KP 258 267
,	 I-KP 267 268
neurologic	I-KP 269 279
,	 I-KP 279 280
and	I-KP 281 284
cardiac	I-KP 285 292
manifestations	I-KP 293 307
without	O 308 315
EM	B-KP 316 318
(	 O 319 320
39	O 320 322
,	 O 322 323
34.2	O 324 328
percent	O 329 336
)	 O 336 337
than	O 338 342
in	O 343 345
those	O 346 351
with	O 352 356
EM	B-KP 357 359
(	 O 360 361
21	O 361 363
,	 O 363 364
12.4	O 365 369
percent	O 370 377
)	 O 377 378
.	 O 378 379

In	O 380 382
addition	O 383 391
,	 O 391 392
intravenous	B-KP 393 404
therapy	I-KP 405 412
was	O 413 416
more	O 417 421
frequently	O 422 432
used	O 433 437
(	 O 438 439
OR	O 439 441
3.8;	O 442 446
CI	O 447 449
1.3-11.2;	O 450 459
P=0.009)	O 460 468
in	O 469 471
those	O 472 477
with	O 478 482
EM	B-KP 483 485
and	O 486 489
arthritic	B-KP 490 499
,	 I-KP 499 500
neurologic	I-KP 501 511
,	 I-KP 511 512
and	I-KP 513 516
cardiac	I-KP 517 524
manifestations	I-KP 525 539
(	 O 540 541
14	O 541 543
of	O 544 546
65	O 547 549
;	 O 549 550
21.5	O 551 555
percent	O 556 563
)	 O 563 564
than	O 565 569
in	O 570 572
those	O 573 578
having	O 579 585
EM	B-KP 586 588
only	O 589 593
(	 O 594 595
7	O 595 596
of	O 597 599
104	O 600 603
;	 O 603 604
6.7	O 605 608
percent	O 609 616
)	 O 616 617
.	 O 617 618

