As	O 0 2
is	O 3 5
the	O 6 9
case	O 10 14
with	O 15 19
most	O 20 24
patients	O 25 33
with	O 34 38
facial	B-KP 39 45
nerve	I-KP 46 51
palsy	I-KP 52 57
attributable	O 58 70
to	O 71 73
Lyme	B-KP 74 78
disease	I-KP 79 86
,	 O 86 87
all	O 88 91
case	O 92 96
subjectsin	O 97 107
the	O 108 111
study	O 112 117
had	O 118 121
peripheral	B-KP 122 132
facial	I-KP 133 139
nerve	I-KP 140 145
palsy	I-KP 146 151
with	O 152 156
both	O 157 161
the	O 162 165
forehead	O 166 174
and	O 175 178
the	O 179 182
eye	O 183 186
affected	O 187 195
,	 O 195 196
indicating	O 197 207
a	O 208 209
lesion	B-KP 210 216
of	O 217 219
the	O 220 223
lower	B-KP 224 229
motor	I-KP 230 235
neuron	I-KP 236 242
.	 O 242 243

Most	O 244 248
patients	O 249 257
had	O 258 261
unilateral	O 262 272
facial	B-KP 273 279
nerve	I-KP 280 285
palsy	I-KP 286 291
:	 O 291 292
23	O 293 295
(	 O 296 297
53	O 297 299
%	 O 299 300
)	 O 300 301
were	O 302 306
rightsided	O 307 317
and	O 318 321
19	O 322 324
(	 O 325 326
44	O 326 328
%	 O 328 329
)	 O 329 330
were	O 331 335
left-sided	O 336 346
.	 O 346 347

One	O 348 351
patient	O 352 359
(	 O 360 361
2	O 361 362
%	 O 362 363
)	 O 363 364
had	O 365 368
bilateral	O 369 378
facial	B-KP 379 385
palsy	I-KP 386 391
.	 O 391 392

Nine	O 393 397
(	 O 398 399
21	O 399 401
%	 O 401 402
)	 O 402 403
of	O 404 406
the	O 407 410
patients	O 411 419
underwent	O 420 429
a	O 430 431
lumbar	O 432 438
puncture	O 439 447
,	 O 447 448
7	O 449 450
of	O 451 453
whom	O 454 458
had	O 459 462
a	O 463 464
pleocytosis	B-KP 465 476
of	O 477 479
the	O 480 483
cerebrospinal	O 484 497
fluid	O 498 503
.	 O 503 504

