For	O 0 3
patients	O 4 12
in	O 13 15
category	O 16 24
1	O 25 26
,	 O 26 27
proper	O 28 34
care	O 35 39
needs	O 40 45
to	O 46 48
be	O 49 51
practiced	O 52 61
when	O 62 66
removing	O 67 75
ticks	O 76 81
,	 O 81 82
especially	O 83 93
the	O 94 97
Ixodes	B-KP 98 104
genus	I-KP 105 110
,	 O 110 111
from	O 112 116
the	O 117 120
skin	B-KP 121 125
.	 O 125 126

It	O 127 129
is	O 130 132
often	O 133 138
difficult	O 139 148
to	O 149 151
definitively	O 152 164
identify	O 165 173
a	O 174 175
tick	O 176 180
as	O 181 183
I	B-KP 184 185
.	 I-KP 185 186
scapularis	I-KP 187 197
in	O 198 200
the	O 201 204
ED	B-KP 205 207
;	 O 207 208
however	O 209 216
,	 O 216 217
in	O 218 220
endemic	B-KP 221 228
areas	I-KP 229 234
with	O 235 239
high	O 240 244
LD	B-KP 245 247
prevalence	O 248 258
or	O 259 261
in	O 262 264
cases	O 265 270
where	O 271 276
there	O 277 282
is	O 283 285
high	O 286 290
clinical	O 291 299
suspicion	O 300 309
for	O 310 313
tick	O 314 318
exposure	O 319 327
,	 O 327 328
emergency	O 329 338
physicians	O 339 349
should	O 350 356
evaluate	O 357 365
and	O 366 369
treat	O 370 375
patients	O 376 384
with	O 385 389
the	O 390 393
assumption	O 394 404
that	O 405 409
the	O 410 413
tick	O 414 418
is	O 419 421
I	B-KP 422 423
.	 I-KP 423 424
scapularis	I-KP 425 435
and	O 436 439
consider	O 440 448
sending	O 449 456
the	O 457 460
tick	O 461 465
for	O 466 469
pathology	B-KP 470 479
identification	I-KP 480 494
.	 O 494 495

Ixodes	B-KP 496 502
ticks	I-KP 503 508
cement	O 509 515
their	O 516 521
mouth	O 522 527
parts	O 528 533
into	O 534 538
the	O 539 542
skin	O 543 547
with	O 548 552
secretions	O 553 563
from	O 564 568
their	O 569 574
salivary	O 575 583
glands	O 584 590
and	O 591 594
have	O 595 599
specialized	O 600 611
structures	O 612 622
for	O 623 626
holding	O 627 634
them	O 635 639
in	O 640 642
the	O 643 646
skin	O 647 651
while	O 652 657
the	O 658 661
tick	O 662 666
feeds	O 667 672
.	 O 672 673

Attached	O 674 682
ticks	O 683 688
should	O 689 695
be	O 696 698
removed	O 699 706
with	O 707 711
fine-tip	O 712 720
forceps	O 721 728
.	 O 728 729

Any	O 730 733
portion	O 734 741
of	O 742 744
the	O 745 748
mouth	O 749 754
parts	O 755 760
of	O 761 763
the	O 764 767
tick	O 768 772
still	O 773 778
embedded	O 779 787
in	O 788 790
the	O 791 794
skin	O 795 799
need	O 800 804
not	O 805 808
be	O 809 811
removed	O 812 819
and	O 820 823
only	O 824 828
disinfected	O 829 840
,	 O 840 841
for	O 842 845
there	O 846 851
is	O 852 854
no	O 855 857
risk	O 858 862
of	O 863 865
LD	B-KP 866 868
and	O 869 872
the	O 873 876
removal	O 877 884
can	O 885 888
cause	O 889 894
unnecessary	O 895 906
tissue	O 907 913
damage	O 914 920
.	 O 920 921

Use	O 922 925
of	O 926 928
hot	O 929 932
objects	O 933 940
,	 O 940 941
such	O 942 946
as	O 947 949
matches	O 950 957
,	 O 957 958
is	O 959 961
contraindicated	O 962 977
and	O 978 981
may	O 982 985
induce	O 986 992
regurgitation	O 993 1006
and	O 1007 1010
cause	O 1011 1016
infected	O 1017 1025
fluids	O 1026 1032
to	O 1033 1035
enter	O 1036 1041
the	O 1042 1045
wound	O 1046 1051
(	 O 1052 1053
44	O 1053 1055
)	 O 1055 1056
.	 O 1056 1057

