Tick-borne	B-KP 0 10
diseases	I-KP 11 19
(	 O 20 21
TBD	B-KP 21 24
)	 O 24 25
present	O 26 33
a	O 34 35
major	O 36 41
public	O 42 48
health	O 49 55
problem	O 56 63
in	O 64 66
the	O 67 70
United	O 71 77
States	O 78 84
,	 O 84 85
where	O 86 91
74.7%of	O 92 99
clinicians	O 100 110
in	O 111 113
high-incidence	O 114 128
states	O 129 135
report	O 136 142
having	O 143 149
treated	O 150 157
a	O 158 159
patient	O 160 167
for	O 168 171
TBD	B-KP 172 175
in	O 176 178
the	O 179 182
previous	O 183 191
year	O 192 196
(	 O 197 198
Brett	O 198 203
et	O 204 206
al	O 207 209
.	 O 209 210
,	 O 210 211
2014	O 212 216
)	 O 216 217
.	 O 217 218

In	O 219 221
the	O 222 225
United	O 226 232
States	O 233 239
,	 O 239 240
more	O 241 245
than	O 246 250
a	O 251 252
dozen	O 253 258
pathogens	B-KP 259 268
can	O 269 272
be	O 273 275
transmitted	O 276 287
by	O 288 290
five	O 291 295
different	O 296 305
genera	O 306 312
ofticks	O 313 320
(	 O 321 322
Shah	O 322 326
and	O 327 330
Sood	O 331 335
,	 O 335 336
2013	O 337 341
)	 O 341 342
.	 O 342 343

When	O 344 348
a	O 349 350
primary	O 351 358
care	O 359 363
provider	O 364 372
sees	O 373 377
a	O 378 379
patient	O 380 387
who	O 388 391
has	O 392 395
removed	O 396 403
and	O 404 407
saved	O 408 413
an	O 414 416
attached	O 417 425
tick	O 426 430
,	 O 430 431
it	O 432 434
is	O 435 437
important	O 438 447
to	O 448 450
identify	O 451 459
the	O 460 463
tick	O 464 468
genus	O 469 474
or	O 475 477
common	O 478 484
name	O 485 489
to	O 490 492
determine	O 493 502
which	O 503 508
pathogens	B-KP 509 518
were	O 519 523
potentially	O 524 535
transmitted	O 536 547
and	O 548 551
whether	O 552 559
antibiotic	B-KP 560 570
prophylaxis	I-KP 571 582
for	O 583 586
Lyme	B-KP 587 591
disease	I-KP 592 599
is	O 600 602
appropriate	O 603 614
.	 O 614 615

Some	O 616 620
41.1%	O 621 626
of	O 627 629
providers	O 630 639
in	O 640 642
states	O 643 649
with	O 650 654
high	O 655 659
Lyme	B-KP 660 664
disease	I-KP 665 672
incidence	O 673 682
recently	O 683 691
reported	O 692 700
providing	O 701 710
tick-bite	B-KP 711 720
prophylaxis	I-KP 721 732
in	O 733 735
the	O 736 739
previous	O 740 748
year	O 749 753
(	 O 754 755
Brett	O 755 760
et	O 761 763
al	O 764 766
.	 O 766 767
,	 O 767 768
2014	O 769 773
)	 O 773 774
.	 O 774 775

Notably	O 776 783
,	 O 783 784
misidentification	O 785 802
of	O 803 805
a	O 806 807
tick	O 808 812
may	O 813 816
lead	O 817 821
to	O 822 824
unnecessary	O 825 836
prophylactic	B-KP 837 849
antibiotic	I-KP 850 860
treatment	I-KP 861 870
,	 O 870 871
unwarranted	O 872 883
testing	O 884 891
,	 O 891 892
or	O 893 895
potentially	O 896 907
a	O 908 909
missed	O 910 916
diagnosis	O 917 926
of	O 927 929
TBD	B-KP 930 933
.	 O 933 934
To	O 935 937
date	O 938 942
,	 O 942 943
only	O 944 948
one	O 949 952
study	O 953 958
has	O 959 962
been	O 963 967
published	O 968 977
on	O 978 980
tick	O 981 985
identification	O 986 1000
by	O 1001 1003
providers	O 1004 1013
in	O 1014 1016
a	O 1017 1018
Lyme	B-KP 1019 1023
disease	I-KP 1024 1031
endemic	B-KP 1032 1039
area	I-KP 1040 1044
(	 O 1045 1046
Falco	O 1046 1051
et	O 1052 1054
al	O 1055 1057
.	 O 1057 1058
,	 O 1058 1059
1998	O 1060 1064
)	 O 1064 1065
.	 O 1065 1066

This	O 1067 1071
study	O 1072 1077
examined	O 1078 1086
specimens	O 1087 1096
submitted	O 1097 1106
by	O 1107 1109
physicians	O 1110 1120
or	O 1121 1123
medical	O 1124 1131
groups	O 1132 1138
to	O 1139 1141
the	O 1142 1145
Fordham	O 1146 1153
University	O 1154 1164
Vector	O 1165 1171
Ecology	O 1172 1179
Laboratory	O 1180 1190
in	O 1191 1193
Westchester	O 1194 1205
County	O 1206 1212
,	 O 1212 1213
NY	O 1214 1216
between	O 1217 1224
1988	O 1225 1229
and	O 1230 1233
1990	O 1234 1238
for	O 1239 1242
tick	O 1243 1247
identification	O 1248 1262
.	 O 1262 1263

Among	O 1264 1269
802	O 1270 1273
submitted	O 1274 1283
specimens	O 1284 1293
,	 O 1293 1294
74.7%	O 1295 1300
were	O 1301 1305
blacklegged	B-KP 1306 1317
ticks	I-KP 1318 1323
(	 O 1324 1325
Ixodes	B-KP 1325 1331
scapularis	I-KP 1332 1342
)	 O 1342 1343
.	 O 1343 1344

It	O 1345 1347
is	O 1348 1350
unclear	O 1351 1358
,	 O 1358 1359
however	O 1360 1367
,	 O 1367 1368
whether	O 1369 1376
all	O 1377 1380
of	O 1381 1383
these	O 1384 1389
specimens	O 1390 1399
were	O 1400 1404
initially	O 1405 1414
suspected	O 1415 1424
to	O 1425 1427
have	O 1428 1432
been	O 1433 1437
blacklegged	B-KP 1438 1449
ticks	I-KP 1450 1455
and	O 1456 1459
thus	O 1460 1464
whether	O 1465 1472
the	O 1473 1476
remaining	O 1477 1486
25.3%	O 1487 1492
were	O 1493 1497
incorrectly	O 1498 1509
identified	O 1510 1520
.	 O 1520 1521

Notably	O 1522 1529
,	 O 1529 1530
5.9%	O 1531 1535
of	O 1536 1538
specimens	O 1539 1548
submitted	O 1549 1558
for	O 1559 1562
tick	O 1563 1567
identification	O 1568 1582
were	O 1583 1587
non-tick	B-KP 1588 1596
arthropods	I-KP 1597 1607
including	O 1608 1617
beetles	B-KP 1618 1625
,	 O 1625 1626
crab	B-KP 1627 1631
lice	I-KP 1632 1636
,	 O 1636 1637
and	O 1638 1641
head	B-KP 1642 1646
lice	I-KP 1647 1651
.	 O 1651 1652

It	O 1653 1655
is	O 1656 1658
also	O 1659 1663
unknown	O 1664 1671
how	O 1672 1675
well	O 1676 1680
this	O 1681 1685
sample	O 1686 1692
represents	O 1693 1703
tick	O 1704 1708
identification	O 1709 1723
by	O 1724 1726
providers	O 1727 1736
during	O 1737 1743
regular	O 1744 1751
clinical	O 1752 1760
practice	O 1761 1769
and	O 1770 1773
not	O 1774 1777
as	O 1778 1780
part	O 1781 1785
of	O 1786 1788
a	O 1789 1790
tick	O 1791 1795
identification	O 1796 1810
service	O 1811 1818
.	 O 1818 1819

