The	O 0 3
patient	O 4 11
had	O 12 15
a	O 16 17
history	O 18 25
of	O 26 28
diffuse	O 29 36
large	O 37 42
non-Hodgkin’s	B-KP 43 56
B	I-KP 57 58
cell	I-KP 59 63
CNS	I-KP 64 67
lymphoma	I-KP 68 76
.	 O 76 77

This	O 78 82
had	O 83 86
been	O 87 91
diagnosed	O 92 101
10	O 102 104
years	O 105 110
before	O 111 117
admission	O 118 127
and	O 128 131
treated	O 132 139
with	O 140 144
chemotherapeutic	O 145 161
doses	O 162 167
of	O 168 170
methotrexate	B-KP 171 183
(	 O 184 185
MTX	B-KP 185 188
)	 O 188 189
,	 O 189 190
and	O 191 194
was	O 195 198
followed	O 199 207
by	O 208 210
maintenance	O 211 222
MTX	B-KP 223 226
infusions	I-KP 227 236
.	 O 236 237

She	O 238 241
had	O 242 245
achieved	O 246 254
a	O 255 256
complete	O 257 265
remission	O 266 275
for	O 276 279
4	O 280 281
years	O 282 287
on	O 288 290
this	O 291 295
regimen	O 296 303
.	 O 303 304

Six	O 305 308
years	O 309 314
before	O 315 321
admission	O 322 331
,	 O 331 332
the	O 333 336
patient	O 337 344
had	O 345 348
experienced	O 349 360
a	O 361 362
recurrence	O 363 373
of	O 374 376
her	O 377 380
CNS	B-KP 381 384
lymphoma	I-KP 385 393
,	 O 393 394
manifested	O 395 405
by	O 406 408
cognitive	O 409 418
changes	O 419 426
and	O 427 430
accompanied	O 431 442
by	O 443 445
radiologic	O 446 456
evidence	O 457 465
of	O 466 468
new	O 469 472
lesions	B-KP 473 480
on	O 481 483
a	O 484 485
brain	B-KP 486 491
MRI	I-KP 492 495
scan	I-KP 496 500
.	 O 500 501

She	O 502 505
resumed	O 506 513
therapy	O 514 521
with	O 522 526
MTX	O 527 530
,	 I-KP 530 531
which	O 532 537
continued	O 538 547
through	O 548 555
2004	O 556 560
.	 O 560 561

In	O 562 564
2005	O 565 569
,	 O 569 570
she	O 571 574
developed	O 575 584
new	O 585 588
brain	O 589 594
lesions	I-KP 595 602
that	O 603 607
were	O 608 612
treated	O 613 620
with	O 621 625
the	O 626 629
combination	O 630 641
of	O 642 644
high-dose	O 645 654
MTX	I-KP 655 658
,	 I-KP 658 659
rituximab	O 660 669
,	 I-KP 669 670
and	O 671 674
temozolomide	O 675 687
.	 I-KP 687 688

This	O 689 693
regimen	O 694 701
induced	O 702 709
another	O 710 717
complete	O 718 726
remission	O 727 736
,	 O 736 737
but	O 738 741
she	O 742 745
experienced	O 746 757
a	O 758 759
third	O 760 765
recurrence	O 766 776
in	O 777 779
2006	O 780 784
,	 O 784 785
at	O 786 788
which	O 789 794
time	O 795 799
she	O 800 803
was	O 804 807
treated	O 808 815
with	O 816 820
myeloablative	O 821 834
chemotherapy	I-KP 835 847
consisting	O 848 858
of	O 859 861
cytarabine	O 862 872
(Ara-C)	O 873 880
/	O 880 881
etoposide	O 881 890
(	 O 891 892
VP-16	O 892 897
)	 I-KP 897 898
,	 O 898 899
followed	O 900 908
by	O 909 911
autologous	O 912 922
bone	O 923 927
marrow	O 928 934
rescue	O 935 941
.	 O 941 942

Following	O 943 952
her	O 953 956
bone	O 957 961
marrow	O 962 968
transplant	O 969 979
,	 O 979 980
she	O 981 984
had	O 985 988
remained	O 989 997
in	O 998 1000
remission	O 1001 1010
until	O 1011 1016
the	O 1017 1020
time	O 1021 1025
of	O 1026 1028
the	O 1029 1032
current	O 1033 1040
presentation	O 1041 1053
.	 O 1053 1054

Aside	O 1055 1060
from	O 1061 1065
her	O 1066 1069
oncologic	O 1070 1079
history	O 1080 1087
,	 O 1087 1088
the	O 1089 1092
only	O 1093 1097
other	O 1098 1103
past	O 1104 1108
medical	O 1109 1116
history	O 1117 1124
of	O 1125 1127
note	O 1128 1132
was	O 1133 1136
a	O 1137 1138
caesarean	O 1139 1148
section	O 1149 1156
delivery	O 1157 1165
performed	O 1166 1175
in	O 1176 1178
early	O 1179 1184
2002	O 1185 1189
,	 O 1189 1190
followed	O 1191 1199
by	O 1200 1202
a	O 1203 1204
hysterectomy	O 1205 1217
for	O 1218 1221
placenta	O 1222 1230
previa	I-KP 1231 1237
.	 I-KP 1237 1238

