The	O 0 3
unique	O 4 10
linkage	O 11 18
number	O 19 25
was	O 26 29
used	O 30 34
to	O 35 37
link	O 38 42
subjects	O 43 51
from	O 52 56
the	O 57 60
index	O 61 66
ED	I-KP 67 69
visit	O 70 75
to	O 76 78
subsequent	O 79 89
ED	B-KP 90 92
encounters	I-KP 93 103
or	O 104 106
hospitalizations	O 107 123
within	O 124 130
90	O 131 133
days	O 134 138
.	 O 138 139

Our	O 140 143
primary	O 144 151
outcome	O 152 159
was	O 160 163
a	O 164 165
composite	O 166 175
of	O 176 178
the	O 179 182
following	O 183 192
serious	O 193 200
ED	B-KP 201 203
or	O 204 206
inpatient	O 207 216
discharge	O 217 226
diagnoses	O 227 236
(	 O 237 238
by	O 238 240
ICD-9	O 241 246
code	O 247 251
)	 O 251 252
within	O 253 259
90	O 260 262
days	O 263 267
of	O 268 270
the	O 271 274
index	O 275 280
ED	I-KP 281 283
Bell’s	I-KP 284 290
palsy	I-KP 291 296
diagnosis	I-KP 297 306
:	 I-KP 306 307
ischemic	O 308 316
stroke	I-KP 317 323
(433.01,	O 324 332
433.11,	O 333 340
433.21,	O 341 348
433.31,	O 349 356
433.81,	O 357 364
433.91,	O 365 372
434.01,	O 373 380
434.11,	O 381 388
434.91,	O 389 396
and	O 397 400
436	O 401 404
)	 O 404 405
,	 O 405 406
combined	O 407 415
with	O 416 420
an	O 421 423
algorithm	O 424 433
previously	O 434 444
validated	O 445 454
for	O 455 458
identifying	O 459 470
acute	O 471 476
ischemic	O 477 485
stroke	O 486 492
(	 O 493 494
11	O 494 496
)	 O 496 497
,	 O 497 498
intracranial	O 499 511
hemorrhage	I-KP 512 522
(	 O 523 524
431	O 524 527
)	 O 527 528
,	 O 528 529
or	O 530 532
subarachnoid	O 533 545
hemorrhage	I-KP 546 556
(	 O 557 558
430	O 558 561
)	 O 561 562
;	 O 562 563
brain	O 564 569
tumor	I-KP 570 575
(	 O 576 577
191	O 577 580
)	 O 580 581
;	 O 581 582
central	O 583 590
nervous	O 591 598
system	O 599 605
infection	O 606 615
,	 O 615 616
including	O 617 626
meningitis	O 627 637
,	 I-KP 637 638
encephalitis	O 639 651
,	 I-KP 651 652
and	O 653 656
brain	O 657 662
abscess	I-KP 663 670
(	 O 671 672
320-326	O 672 679
)	 O 679 680
;	 O 680 681
HIV	O 682 685
(	 O 686 687
042	O 687 690
)	 O 690 691
;	 O 691 692
Guillain-Barré	O 693 707
syndrome	I-KP 708 716
(357.0);	O 717 725
Lyme	O 726 730
disease	I-KP 731 738
(088.81);	O 739 748
otitis	O 749 755
media	I-KP 756 761
or	O 762 764
mastoiditis	O 765 776
(	 O 777 778
381-383	O 778 785
)	 O 785 786
;	 O 786 787
or	O 788 790
herpes	O 791 797
zoster	I-KP 798 804
(	 O 805 806
053	O 806 809
)	 O 809 810
.	 O 810 811

These	O 812 817
diagnoses	O 818 827
were	O 828 832
chosen	O 833 839
a	O 840 841
priori	O 842 848
to	O 849 851
represent	O 852 861
distinct	O 862 870
and	O 871 874
clinically	O 875 885
important	O 886 895
disease	O 896 903
entities	O 904 912
that	O 913 917
may	O 918 921
present	O 922 929
in	O 930 932
a	O 933 934
similar	O 935 942
fashion	O 943 950
to	O 951 953
Bell’s	O 954 960
palsy	I-KP 961 966
.	 I-KP 966 967

We	O 968 970
excluded	O 971 979
some	O 980 984
common	O 985 991
mimics	O 992 998
from	O 999 1003
our	O 1004 1007
outcomes	O 1008 1016
(	 O 1017 1018
eg	O 1018 1020
,	 O 1020 1021
diabetic	O 1022 1030
neuropathy	I-KP 1031 1041
,	 I-KP 1041 1042
sarcoidosis	O 1043 1054
)	 I-KP 1054 1055
because	O 1056 1063
,	 O 1063 1064
although	O 1065 1073
they	O 1074 1078
may	O 1079 1082
initially	O 1083 1092
be	O 1093 1095
confused	O 1096 1104
with	O 1105 1109
Bell’s	O 1110 1116
palsy	I-KP 1117 1122
,	 I-KP 1122 1123
the	O 1124 1127
clinical	O 1128 1136
significance	O 1137 1149
of	O 1150 1152
misdiagnosis	O 1153 1165
is	O 1166 1168
unclear	O 1169 1176
and	O 1177 1180
patient	O 1181 1188
outcomes	O 1189 1197
would	O 1198 1203
generally	O 1204 1213
not	O 1214 1217
be	O 1218 1220
expected	O 1221 1229
to	O 1230 1232
worsen	O 1233 1239
from	O 1240 1244
delayed	O 1245 1252
diagnosis	O 1253 1262
.	 O 1262 1263

Additionally	O 1264 1276
,	 O 1276 1277
we	O 1278 1280
excluded	O 1281 1289
mortality	O 1290 1299
as	O 1300 1302
a	O 1303 1304
separate	O 1305 1313
outcome	O 1314 1321
because	O 1322 1329
any	O 1330 1333
death	O 1334 1339
related	O 1340 1347
to	O 1348 1350
one	O 1351 1354
of	O 1355 1357
the	O 1358 1361
outcome	O 1362 1369
diagnoses	O 1370 1379
would	O 1380 1385
already	O 1386 1393
be	O 1394 1396
captured	O 1397 1405
.	 O 1405 1406

