As	O 0 2
shown	O 3 8
for	O 9 12
the	O 13 16
years	O 17 22
2010	O 23 27
to	O 28 30
2013	O 31 35
,	 O 35 36
Lyme	B-KP 37 41
disease	I-KP 42 49
incidence	O 50 59
is	O 60 62
bimodal	O 63 70
with	O 71 75
respect	O 76 83
to	O 84 86
age	O 87 90
,	 O 90 91
with	O 92 96
highest	O 97 104
rates	O 105 110
among	O 111 116
children	O 117 125
aged	O 126 130
5	O 131 132
to	O 133 135
15	O 136 138
years	O 139 144
and	O 145 148
adults	O 149 155
older	O 156 161
than	O 162 166
50	O 167 169
years	O 170 175
(	 O 176 177
Fig	O 177 180
.	 O 180 181

5	O 182 183
)	 O 183 184
.	 O 184 185

In	O 186 188
the	O 189 192
United	O 193 199
States	O 200 206
,	 O 206 207
the	O 208 211
incidence	O 212 221
is	O 222 224
higher	O 225 231
among	O 232 237
males	O 238 243
in	O 244 246
all	O 247 250
age	O 251 254
groups	O 255 261
.	 O 261 262

In	O 263 265
contrast	O 266 274
,	 O 274 275
females	O 276 283
account	O 284 291
for	O 292 295
51	O 296 298
%	 O 298 299
to	O 300 302
60	O 303 305
%	 O 305 306
of	O 307 309
identified	O 310 320
cases	O 321 326
in	O 327 329
many	O 330 334
European	O 335 343
series	O 344 350
,	 O 350 351
yielding	O 352 360
an	O 361 363
incidence	O 364 373
higher	O 374 380
than	O 381 385
males	O 386 391
in	O 392 394
at	O 395 397
least	O 398 403
some	O 404 408
series	O 409 415
.	 O 415 416
[28,61,86,87]	O 417 430
Although	O 431 439
these	O 440 445
patterns	O 446 454
likely	O 455 461
reflect	O 462 469
behavior-related	O 470 486
differences	O 487 498
in	O 499 501
exposure	O 502 510
across	O 511 517
populations	O 518 529
,	 O 529 530
age	O 531 534
and	O 535 538
sex-specific	O 539 551
differences	O 552 563
in	O 564 566
susceptibility	O 567 581
and	O 582 585
care-seeking	O 586 598
behavior	O 599 607
may	O 608 611
also	O 612 616
contribute	O 617 627
.	 O 627 628

Over	O 629 633
time	O 634 638
,	 O 638 639
the	O 640 643
US	O 644 646
incidence	O 647 656
has	O 657 660
increased	O 661 670
disproportionately	O 671 689
among	O 690 695
males	O 696 701
,	 O 701 702
shifting	O 703 711
the	O 712 715
overall	O 716 723
sex	O 724 727
ratio	O 728 733
from	O 734 738
51	O 739 741
%	 O 741 742
male	O 743 747
in	O 748 750
1992	O 751 755
to	O 756 758
53	O 759 761
%	 O 761 762
male	O 763 767
in	O 768 770
2006	O 771 775
.	 O 775 776
[	 O 777 778
28	O 778 780
]	 O 780 781
This	O 782 786
sex-specific	O 787 799
increase	O 800 808
has	O 809 812
been	O 813 817
most	O 818 822
pronounced	O 823 833
among	O 834 839
children	O 840 848
.	 O 848 849

In	O 850 852
a	O 853 854
separate	O 855 863
analysis	O 864 872
of	O 873 875
US	O 876 878
data	O 879 883
for	O 884 887
2001	O 888 892
to	O 893 895
2002	O 896 900
,	 O 900 901
age	O 902 905
and	O 906 909
sex	O 910 913
distribution	O 914 926
were	O 927 931
found	O 932 937
to	O 938 940
vary	O 941 945
among	O 946 951
cases	O 952 957
reported	O 958 966
in	O 967 969
endemic	B-KP 970 977
and	I-KP 978 981
nonendemic	I-KP 982 992
areas	I-KP 993 998
.	 O 998 999
[	 O 1000 1001
88	O 1001 1003
]	 O 1003 1004
In	O 1005 1007
12	O 1008 1010
high-incidence	O 1011 1025
states	O 1026 1032
,	 O 1032 1033
the	O 1034 1037
modal	O 1038 1043
age	O 1044 1047
for	O 1048 1051
cases	O 1052 1057
was	O 1058 1061
6	O 1062 1063
years	O 1064 1069
,	 O 1069 1070
and	O 1071 1074
54	O 1075 1077
%	 O 1077 1078
were	O 1079 1083
among	O 1084 1089
males	O 1090 1095
.	 O 1095 1096

In	O 1097 1099
contrast	O 1100 1108
,	 O 1108 1109
in	O 1110 1112
nonendemic	B-KP 1113 1123
states	I-KP 1124 1130
,	 O 1130 1131
the	O 1132 1135
modal	O 1136 1141
age	O 1142 1145
was	O 1146 1149
44	O 1150 1152
years	O 1153 1158
,	 O 1158 1159
and	O 1160 1163
47	O 1164 1166
%	 O 1166 1167
were	O 1168 1172
among	O 1173 1178
males	O 1179 1184
.	 O 1184 1185

Barring	O 1186 1193
fundamental	O 1194 1205
differences	O 1206 1217
in	O 1218 1220
risk	O 1221 1225
factors	O 1226 1233
for	O 1234 1237
infection	O 1238 1247
,	 O 1247 1248
this	O 1249 1253
discrepancy	O 1254 1265
suggests	O 1266 1274
misclassification	O 1275 1292
(	 O 1293 1294
ie	O 1294 1296
,	 O 1296 1297
that	O 1298 1302
a	O 1303 1304
substantial	O 1305 1316
proportion	O 1317 1327
of	O 1328 1330
illnesses	O 1331 1340
reported	O 1341 1349
in	O 1350 1352
