Serum	B-KP 0 5
samples	I-KP 6 13
were	O 14 18
tested	O 19 25
for	O 26 29
evidence	O 30 38
of	O 39 41
infection	O 42 51
by	O 52 54
the	O 55 58
agents	O 59 65
of	O 66 68
Lyme	B-KP 69 73
disease	I-KP 74 81
(B.	B-KP 83 86

burgdorferi),	O 87 100
human	I-KP 101 106
monocytic	I-KP 107 116
ehrlichiosis	I-KP 117 129
(Ehrlichia	B-KP 130 140
chaffeensis),	O 141 154
human	I-KP 155 160
granulocytic	I-KP 161 173
ehrlichiosis	I-KP 174 186
(Ehrlichia	B-KP 187 197
phagocytophila),	O 198 214
Rocky	O 215 220
Mountain	O 221 229
spotted	O 230 237
fever	O 238 243
(Rickettsia	B-KP 244 255
rickettsii),	O 256 268
murine	I-KP 269 275
typhus	I-KP 276 282
(Rickettsia	B-KP 283 294
typhi),	O 295 302
Q	I-KP 303 304
fever	I-KP 305 310
(Coxiella	B-KP 311 320
burneti),	O 321 330
tularaemia	I-KP 331 341
(Francisella	B-KP 342 354
tularensis)	O 355 366
and	O 367 370
babesiosis	I-KP 371 381
(Babesia	B-KP 382 390
microti).	O 391 400

IgG	I-KP 401 404
antibodies	I-KP 405 415
against	O 416 423
antigens	I-KP 424 432
of	O 433 435
E.	I-KP 436 438

chaffeensis,	O 439 451
E.	I-KP 452 454

phagocytophila,	O 455 470
R.	I-KP 471 473

rickettsii,	O 474 485
R.	I-KP 486 488

typhi,	O 489 495
C.	I-KP 496 498

burneti,	O 499 507
and	O 508 511
B.	I-KP 512 514

microti	I-KP 515 522
were	O 523 527
tested	O 528 534
by	O 535 537
indirect	I-KP 538 546
fluorescent	I-KP 547 558
antibody	I-KP 559 567
assays	I-KP 568 574
(IFA),	B-KP 575 581
as	O 582 584
previously	O 585 595
described	O 596 605
(11–14).	O 606 614

The	O 615 618
serum	O 619 624
samples	O 625 632
were	O 633 637
screened	O 638 646
against	O 647 654
F.	I-KP 655 657

tularensis	I-KP 658 668
by	O 669 671
an	O 672 674
agglutination	I-KP 675 688
assay,	O 689 695
according	O 696 705
to	O 706 708
the	O 709 712
manufacturer’s	O 713 727
recommendations	O 728 743
(Difco	O 744 750
Laboratories,	O 751 764
Detroit,	O 765 773
MI,	O 774 777
USA).\nIgG	O 778 788
antibodies	I-KP 789 799
against	O 800 807
the	O 808 811
Lyme	I-KP 812 816
disease	I-KP 817 824
spirochaete	I-KP 825 836
were	O 837 841
initially	O 842 851
detected	O 852 860
by	O 861 863
enzyme-linked	I-KP 864 877
immunosorbent	I-KP 878 891
assay	I-KP 892 897
(ELISA)	B-KP 898 905
using	O 906 911
antigens	I-KP 912 920
of	O 921 923
the	O 924 927
N40	I-KP 928 931
strain	I-KP 932 938
of	I-KP 939 941
B.	I-KP 942 944

burgdorferi	I-KP 945 956
sensu	I-KP 957 962
stricto	I-KP 963 970
(15).	O 971 976

Briefly,	O 977 985
low-passage	O 986 997
wildtype	O 998 1006
N40	O 1007 1010
was	O 1011 1014
harvested	O 1015 1024
at	O 1025 1027
log-phase	O 1028 1037
growth,	O 1038 1045
washed	O 1046 1052
three	O 1053 1058
times	O 1059 1064
in	O 1065 1067
Hanks'	I-KP 1068 1074
balanced	I-KP 1075 1083
