Tick-borne	B-KP 0 10
diseases	I-KP 11 19
(TBD)	B-KP 21 26
present	O 27 34
a	O 35 36
major	O 37 42
public	O 43 49
health	O 50 56
problem	O 57 64
in	O 65 67
the	O 68 71
United	O 72 78
States,	O 79 86
where	O 87 92
74.7%of	O 93 100
clinicians	O 101 111
in	O 112 114
high-incidence	O 115 129
states	O 130 136
report	O 137 143
having	O 144 150
treated	O 151 158
a	O 159 160
patient	O 161 168
for	O 169 172
TBD	I-KP 173 176
in	O 177 179
the	O 180 183
previous	O 184 192
year	O 193 197
(Brett	O 198 204
et	O 205 207
al.,	O 208 212
2014).	O 213 219

In	O 220 222
the	O 223 226
United	O 227 233
States,	O 234 241
more	O 242 246
than	O 247 251
a	O 252 253
dozen	O 254 259
pathogens	I-KP 260 269
can	O 270 273
be	O 274 276
transmitted	O 277 288
by	O 289 291
five	O 292 296
different	O 297 306
genera	O 307 313
ofticks	O 314 321
(Shah	O 322 327
and	O 328 331
Sood,	O 332 337
2013).	O 338 344

When	O 345 349
a	O 350 351
primary	O 352 359
care	O 360 364
provider	O 365 373
sees	O 374 378
a	O 379 380
patient	O 381 388
who	O 389 392
has	O 393 396
removed	O 397 404
and	O 405 408
saved	O 409 414
an	O 415 417
attached	O 418 426
tick,	O 427 432
it	O 433 435
is	O 436 438
important	O 439 448
to	O 449 451
identify	O 452 460
the	O 461 464
tick	O 465 469
genus	O 470 475
or	O 476 478
common	O 479 485
name	O 486 490
to	O 491 493
determine	O 494 503
which	O 504 509
pathogens	I-KP 510 519
were	O 520 524
potentially	O 525 536
transmitted	O 537 548
and	O 549 552
whether	O 553 560
antibiotic	I-KP 561 571
prophylaxis	I-KP 572 583
for	O 584 587
Lyme	I-KP 588 592
disease	I-KP 593 600
is	O 601 603
appropriate.	O 604 616

Some	O 617 621
41.1%	O 622 627
of	O 628 630
providers	O 631 640
in	O 641 643
states	O 644 650
with	O 651 655
high	O 656 660
Lyme	I-KP 661 665
disease	I-KP 666 673
incidence	O 674 683
recently	O 684 692
reported	O 693 701
providing	O 702 711
tick-bite	I-KP 712 721
prophylaxis	I-KP 722 733
in	O 734 736
the	O 737 740
previous	O 741 749
year	O 750 754
(Brett	O 755 761
et	O 762 764
al.,	O 765 769
2014).	O 770 776

Notably,	O 777 785
misidentification	O 786 803
of	O 804 806
a	O 807 808
tick	O 809 813
may	O 814 817
lead	O 818 822
to	O 823 825
unnecessary	O 826 837
prophylactic	I-KP 838 850
antibiotic	I-KP 851 861
treatment,	O 862 872
unwarranted	O 873 884
testing,	O 885 893
or	O 894 896
potentially	O 897 908
a	O 909 910
missed	O 911 917
diagnosis	O 918 927
of	O 928 930
TBD.	O 931 935

To	O 936 938
date,	O 939 944
only	O 945 949
one	O 950 953
study	O 954 959
has	O 960 963
been	O 964 968
published	O 969 978
on	O 979 981
tick	O 982 986
identification	O 987 1001
by	O 1002 1004
providers	O 1005 1014
in	O 1015 1017
a	B-KP 1019 1020
Lyme	I-KP 1021 1025
disease	O 1026 1033
endemic	I-KP 1034 1041
area	O 1042 1046
(Falco	O 1047 1053
et	O 1054 1056
al.,	O 1057 1061
1998).\nThis	O 1062 1074
study	O 1075 1080
