Limitations	O 0 11
of	O 12 14
this	O 15 19
study	O 20 25
are	O 26 29
primarily	O 30 39
related	O 40 47
to	O 48 50
the	O 51 54
response	O 55 63
rate	O 64 68
of	O 69 71
the	O 72 75
survey	O 76 82
(	 O 83 84
15	O 84 86
%	 O 86 87
)	 O 87 88
.	 O 88 89

Due	O 90 93
to	O 94 96
the	O 97 100
low	O 101 104
number	O 105 111
of	O 112 114
published	O 115 124
studies	O 125 132
of	O 133 135
public	O 136 142
health	O 143 149
faculties	O 150 159
using	O 160 165
internet	O 166 174
based	O 175 180
surveys	O 181 188
,	 O 188 189
it	O 190 192
is	O 193 195
unclear	O 196 203
if	O 204 206
this	O 207 211
is	O 212 214
an	O 215 217
acceptable	O 218 228
response	O 229 237
rate	O 238 242
or	O 243 245
how	O 246 249
it	O 250 252
compares	O 253 261
to	O 262 264
other	O 265 270
unpublished	O 271 282
studies	O 283 290
of	O 291 293
this	O 294 298
population	O 299 309
.	 O 309 310

It	O 311 313
is	O 314 316
hypothesized	O 317 329
that	O 330 334
respondents	O 335 346
may	O 347 350
have	O 351 355
been	O 356 360
more	O 361 365
likely	O 366 372
to	O 373 375
have	O 376 380
an	O 381 383
interest	O 384 392
or	O 393 395
personal	O 396 404
experience	O 405 415
with	O 416 420
Lyme	B-KP 421 425
disease	I-KP 426 433
,	 O 433 434
meaning	O 435 442
that	O 443 447
their	O 448 453
answers	O 454 461
may	O 462 465
not	O 466 469
be	O 470 472
representative	O 473 487
of	O 488 490
others	O 491 497
in	O 498 500
the	O 501 504
field	O 505 510
.	 O 510 511

Nevertheless	O 512 524
,	 O 524 525
few	O 526 529
of	O 530 532
the	O 533 536
respondents	O 537 548
reported	O 549 557
working	O 558 565
in	O 566 568
the	O 569 572
field	O 573 578
or	O 579 581
having	O 582 588
PTLDS	B-KP 589 594
themselves	O 595 605
.	 O 605 606

There	O 607 612
are	O 613 616
many	O 617 621
schools	O 622 629
of	O 630 632
public	O 633 639
health	O 640 646
located	O 647 654
in	O 655 657
the	O 658 661
northeastern	O 662 674
US	O 675 677
,	 O 677 678
however	O 679 686
schools	O 687 694
in	O 695 697
Lyme	B-KP 698 702
endemic	I-KP 703 710
states	I-KP 711 717
represent	O 718 727
only	O 728 732
30	O 733 735
%	 O 735 736
of	O 737 739
all	O 740 743
schools	O 744 751
surveyed	O 752 760
and	O 761 764
40	O 765 767
%	 O 767 768
of	O 769 771
all	O 772 775
emails	O 776 782
sent	O 783 787
were	O 788 792
to	O 793 795
schools	O 796 803
in	O 804 806
endemic	B-KP 807 814
states	I-KP 815 821
.	 O 821 822

An	O 823 825
equal	O 826 831
number	O 832 838
of	O 839 841
respondents	O 842 853
from	O 854 858
both	O 859 863
endemic	B-KP 864 871
states	I-KP 872 878
and	O 879 882
non-endemic	B-KP 883 894
states	I-KP 895 901
show	O 902 906
that	O 907 911
a	O 912 913
greater	O 914 921
percentage	O 922 932
of	O 933 935
respondents	O 936 947
from	O 948 952
endemic	O 953 960
state	O 961 966
schools	O 967 974
responded	O 975 984
to	O 985 987
the	O 988 991
survey	O 992 998
.	 O 998 999

However	O 1000 1007
,	 O 1007 1008
this	O 1009 1013
would	O 1014 1019
cause	O 1020 1025
us	O 1026 1028
to	O 1029 1031
hypothesize	O 1032 1043
that	O 1044 1048
there	O 1049 1054
would	O 1055 1060
be	O 1061 1063
an	O 1064 1066
overestimation	O 1067 1081
of	O 1082 1084
understanding	O 1085 1098
about	O 1099 1104
the	O 1105 1108
diseases	O 1109 1117
in	O 1118 1120
question	O 1121 1129
,	 O 1129 1130
an	O 1131 1133
overestimate	O 1134 1146
of	O 1147 1149
teaching	O 1150 1158
rates	O 1159 1164
,	 O 1164 1165
and	O 1166 1169
more	O 1170 1174
personal	O 1175 1183
and	O 1184 1187
professional	O 1188 1200
experience	O 1201 1211
.	 O 1211 1212

Despite	O 1213 1220
the	O 1221 1224
higher	O 1225 1231
response	O 1232 1240
rates	O 1241 1246
from	O 1247 1251
those	O 1252 1257
in	O 1258 1260
the	O 1261 1264
endemic	B-KP 1265 1272
states	I-KP 1273 1279
,	 O 1279 1280
the	O 1281 1284
data	O 1285 1289
still	O 1290 1295
show	O 1296 1300
much	O 1301 1305
uncertainty	O 1306 1317
.	 O 1317 1318

