More	O 0 4
than	O 5 9
90	O 10 12
%	 O 12 13
of	O 14 16
faculty	O 17 24
respondents	O 25 36
from	O 37 41
both	O 42 46
Lyme	B-KP 47 51
endemic	I-KP 52 59
and	O 60 63
non-endemic	B-KP 64 75
regions	I-KP 76 83
agree	O 84 89
that	O 90 94
Lyme	B-KP 95 99
disease	I-KP 100 107
is	O 108 110
common	O 111 117
in	O 118 120
certain	O 121 128
regions	O 129 136
of	O 137 139
the	O 140 143
US	O 144 146
.	 O 146 147
Most	O 148 152
faculty	O 153 160
members	O 161 168
(	 O 169 170
88	O 170 172
%	 O 172 173
)	 O 173 174
agree	O 175 180
that	O 181 185
the	O 186 189
geographical	O 190 202
range	O 203 208
of	O 209 211
Lyme	B-KP 212 216
disease	I-KP 217 224
will	O 225 229
increase	O 230 238
in	O 239 241
the	O 242 245
future	O 246 252
.	 O 252 253

The	O 254 257
majority	O 258 266
do	O 267 269
not	O 270 273
have	O 274 278
professional	O 279 291
experience	O 292 302
,	 O 302 303
defined	O 304 311
as	O 312 314
having	O 315 321
been	O 322 326
taught	O 327 333
about	O 334 339
,	 O 339 340
cared	O 341 346
for	O 347 350
patients	O 351 359
with	O 360 364
,	 O 364 365
or	O 366 368
done	O 369 373
research	O 374 382
on	O 383 385
,	 O 385 386
Lyme	B-KP 387 391
disease	I-KP 392 399
(	 O 400 401
66	O 401 403
%	 O 403 404
)	 O 404 405
or	O 406 408
PTLDS	B-KP 409 414
(	 O 415 416
83	O 416 418
%	 O 418 419
)	 O 419 420
.	 O 420 421

While	O 422 427
many	O 428 432
are	O 433 436
unsure	O 437 443
of	O 444 446
the	O 447 450
research	O 451 459
funding	O 460 467
environment	O 468 479
for	O 480 483
Lyme	B-KP 484 488
disease	I-KP 489 496
and	O 497 500
PTLDS	B-KP 501 506
(	 O 507 508
82	O 508 510
%	 O 510 511
)	 O 511 512
,	 O 512 513
17	O 514 516
%	 O 516 517
believe	O 518 525
that	O 526 530
these	O 531 536
diseases	O 537 545
are	O 546 549
underfunded	O 550 561
.	 O 561 562

Likewise	O 563 571
,	 O 571 572
85	O 573 575
%	 O 575 576
of	O 577 579
surveyed	O 580 588
faculty	O 589 596
members	O 597 604
believe	O 605 612
that	O 613 617
more	O 618 622
public	O 623 629
health	O 630 636
education	O 637 646
is	O 647 649
needed	O 650 656
surrounding	O 657 668
Lyme	B-KP 669 673
disease	I-KP 674 681
and	O 682 685
PTLDS	B-KP 686 691
.	 O 691 692
Pvalues	O 693 700
indicating	O 701 711
statistically	O 712 725
significant	O 726 737
differences	O 738 749
between	O 750 757
the	O 758 761
Lyme	B-KP 762 766
endemic	I-KP 767 774
and	O 775 778
non-Lyme	B-KP 779 787
endemic	I-KP 788 795
groups	I-KP 796 802
for	O 803 806
these	O 807 812
analyses	O 813 821
are	O 822 825
shown	O 826 831
at	O 832 834
the	O 835 838
bottom	O 839 845
of	O 846 848
Table	O 849 854
2	O 855 856
.	 O 856 857

