Neurologic	B-KP 0 10
manifestations	I-KP 11 25
of	I-KP 26 28
borreliosis	I-KP 29 40
are	O 41 44
less	O 45 49
common	O 50 56
in	O 57 59
children	O 60 68
than	O 69 73
in	O 74 76
adults	O 77 83
.	 O 83 84

In	O 85 87
reports	O 88 95
of	O 96 98
139	O 99 102
LN	B-KP 103 105
patients	O 106 114
,	 O 114 115
only	O 116 120
five	O 121 125
were	O 126 130
less	O 131 135
than	O 136 140
18	O 141 143
years	O 144 149
of	O 150 152
age	O 153 156
[2,3,6,11]	O 157 167
.	O 167 168

All	O 169 172
five	O 173 177
had	O 178 181
Lyme	B-KP 182 186
meningitis	I-KP 187 197
.	 O 197 198

Three	O 199 204
of	O 205 207
the	O 208 211
five	O 212 216
also	O 217 221
had	O 222 225
a	O 226 227
unilateral	B-KP 228 238
facial	I-KP 239 245
palsy	I-KP 246 251
.	 O 251 252

Excellent	O 253 262
recovery	O 263 271
followed	O 272 280
antibiotic	B-KP 281 291
therapy	I-KP 292 299
in	O 300 302
each	O 303 307
case	O 308 312
.	 O 312 313

In	O 314 316
46	O 317 319
children	O 320 328
with	O 329 333
Lyme	B-KP 334 338
arthritis	I-KP 339 348
,	 O 348 349
a	O 350 351
10	O 352 354
year	O 355 359
follow-up	O 360 369
revealed	O 370 378
neurologic	O 379 389
symptoms	O 390 398
in	O 399 401
only	O 402 406
four	O 407 411
[	 O 412 413
12	O 413 415
]	 O 415 416
.	 O 416 417

The	O 418 421
symptoms	O 422 430
included	O 431 439
headache	B-KP 440 448
and	O 449 452
memory	O 453 459
impairment	O 460 470
in	O 471 473
two	O 474 477
,	 O 477 478
seizures	O 479 487
in	O 488 490
one	O 491 494
,	 O 494 495
and	O 496 499
optic	B-KP 500 505
neuropathy	I-KP 506 516
with	O 517 521
myelopathy	B-KP 522 532
in	O 533 535
one	O 536 539
.	 O 539 540

The	O 541 544
neurologic	O 545 555
complaints	O 556 566
in	O 567 569
these	O 570 575
patients	O 576 584
began	O 585 590
4	O 591 592
to	O 593 595
12	O 596 598
years	O 599 604
after	O 605 610
the	O 611 614
onset	O 615 620
of	O 621 623
arthritis	O 624 633
.	 O 633 634

