The	O 0 3
risk	O 4 8
of	O 9 11
human	O 12 17
infection	O 18 27
with	O 28 32
B	B-KP 33 34
burgdorferi	I-KP 35 46
is	O 47 49
determined	O 50 60
by	O 61 63
the	O 64 67
geographic	O 68 78
distribution	O 79 91
of	O 92 94
vector	B-KP 95 101
tick	I-KP 102 106
species	I-KP 107 114
,	 O 114 115
local	O 116 121
factors	O 122 129
that	O 130 134
increase	O 135 143
or	O 144 146
decrease	O 147 155
tick	O 156 160
abundance	O 161 170
and	O 171 174
rates	O 175 180
of	O 181 183
infection	O 184 193
,	 O 193 194
and	O 195 198
human	O 199 204
behaviors	O 205 214
that	O 215 219
affect	O 220 226
the	O 227 230
likelihood	O 231 241
of	O 242 244
being	O 245 250
bitten	O 251 257
.	 O 257 258

In	O 259 261
the	O 262 265
Northeast	O 266 275
where	O 276 281
homes	O 282 287
are	O 288 291
often	O 292 297
situated	O 298 306
in	O 307 309
heavily	O 310 317
tick-infested	O 318 331
areas	O 332 337
,	 O 337 338
exposure	O 339 347
is	O 348 350
thought	O 351 358
to	O 359 361
occur	O 362 367
primarily	O 368 377
in	O 378 380
the	O 381 384
peridomestic	O 385 397
environment	O 398 409
immediately	O 410 421
around	O 422 428
the	O 429 432
home	O 433 437
.	 O 437 438
[44–47]	O 439 446
In	O 447 449
the	O 450 453
North	O 454 459
Central	O 460 467
states	O 468 474
,	 O 474 475
areas	O 476 481
of	O 482 484
highest	O 485 492
risk	O 493 497
are	O 498 501
often	O 502 507
lightly	O 508 515
populated	O 516 525
[	 O 526 527
48	O 527 529
]	 O 529 530
;	 O 530 531
infection	O 532 541
in	O 542 544
these	O 545 550
areas	O 551 556
is	O 557 559
more	O 560 564
often	O 565 570
related	O 571 578
to	O 579 581
weekend	O 582 589
travel	O 590 596
and	O 597 600
recreation	O 601 611
.	 O 611 612

Specific	O 613 621
peridomestic	B-KP 622 634
risk	I-KP 635 639
factors	I-KP 640 647
include	O 648 655
the	O 656 659
presence	O 660 668
of	O 669 671
a	O 672 673
suitable	O 674 682
tick	O 683 687
habitat	O 688 695
,	 O 695 696
landscaping	O 697 708
practices	O 709 718
that	O 719 723
enhance	O 724 731
tick	O 732 736
survival	O 737 745
(	 O 746 747
eg	O 747 749
,	 O 749 750
failure	O 751 758
to	O 759 761
clear	O 762 767
leaf	O 768 772
litter	O 773 779
)	 O 779 780
,	 O 780 781
deer	O 782 786
density	O 787 794
,	 O 794 795
and	O 796 799
outdoor	O 800 807
activities	O 808 818
,	 O 818 819
such	O 820 824
as	O 825 827
gardening	O 828 837
.	 O 837 838
[49–53]	O 839 846
Certain	O 847 854
occupations	O 855 866
and	O 867 870
hobbies	O 871 878
also	O 879 883
increase	O 884 892
the	O 893 896
risk	O 897 901
of	O 902 904
infection	O 905 914
.	 O 914 915

Forestry	O 916 924
workers	O 925 932
,	 O 932 933
farmers	O 934 941
,	 O 941 942
soldiers	O 943 951
,	 O 951 952
hunters	O 953 960
,	 O 960 961
hikers	O 962 968
,	 O 968 969
and	O 970 973
orienteers	O 974 984
have	O 985 989
higher	O 990 996
rates	O 997 1002
of	O 1003 1005
infection	O 1006 1015
in	O 1016 1018
studies	O 1019 1026
from	O 1027 1031
the	O 1032 1035
United	O 1036 1042
States	O 1043 1049
,	 O 1049 1050
[	 O 1051 1052
54	O 1052 1054
]	 O 1054 1055
Asia	O 1056 1060
,	 O 1060 1061
[55,56]	O 1062 1069
and	O 1070 1073
throughout	O 1074 1084
Europe	O 1085 1091
.	 O 1091 1092
[57–61]	O 1093 1100
Animal	O 1101 1107
studies	O 1108 1115
and	O 1116 1119
clinical	O 1120 1128
observations	O 1129 1141
indicate	O 1142 1150
that	O 1151 1155
I	B-KP 1156 1157
scapularis	I-KP 1158 1168
ticks	I-KP 1169 1174
require	O 1175 1182
at	O 1183 1185
least	O 1186 1191
36	O 1192 1194
hours	O 1195 1200
of	O 1201 1203
attachment	O 1204 1214
in	O 1215 1217
order	O 1218 1223
to	O 1224 1226
transmit	O 1227 1235
B	B-KP 1236 1237
burgdorferi	I-KP 1238 1249
,	 O 1249 1250
[	 O 1251 1252
62	O 1252 1254
]	 O 1254 1255
supporting	O 1256 1266
a	O 1267 1268
possible	O 1269 1277
preventive	O 1278 1288
role	O 1289 1293
for	O 1294 1297
daily	O 1298 1303
tick	O 1304 1308
checks	O 1309 1315
and	O 1316 1319
showering	O 1320 1329
after	O 1330 1335
potential	O 1336 1345
exposure	O 1346 1354
.	 O 1354 1355
[53,63]	O 1356 1363
Unfortunately	O 1364 1377
,	 O 1377 1378
similar	O 1379 1386
studies	O 1387 1394
have	O 1395 1399
demonstrated	O 1400 1412
that	O 1413 1417
I	O 1418 1419
ricinus	O 1420 1427
ticks	O 1428 1433
,	 O 1433 1434
especially	O 1435 1445
when	O 1446 1450
infected	O 1451 1459
with	O 1460 1464
B	B-KP 1465 1466
afzelii	I-KP 1467 1474
,	 O 1474 1475
can	O 1476 1479
transmit	O 1480 1488
infection	O 1489 1498
efficiently	O 1499 1510
after	O 1511 1516
much	O 1517 1521
shorter	O 1522 1529
periods	O 1530 1537
of	O 1538 1540
attachment	O 1541 1551
.	 O 1551 1552
[	 O 1553 1554
2	O 1554 1555
]	 O 1555 1556
